prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 1, 10, 10, 79.2, 50.0, 90.9, 23.8, 64.5, 37.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 2, 11, 9, 75.5, 45.0, 81.8, 26.2, 58.1, 39.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 3, 10, 8, 75.5, 44.4, 72.7, 23.8, 55.2, 35.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 9, 9, 79.2, 50.0, 81.8, 21.4, 62.1, 34.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 5, 11, 6, 69.8, 35.3, 54.5, 26.2, 42.9, 35.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 1, 10, 10, 79.2, 50.0, 90.9, 23.8, 64.5, 37.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 9, 9, 79.2, 50.0, 81.8, 21.4, 62.1, 34.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 9, 9, 79.2, 50.0, 81.8, 21.4, 62.1, 34.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 4, 10, 7, 73.6, 41.2, 63.6, 23.8, 50.0, 34.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 3, 13, 8, 69.8, 38.1, 72.7, 31.0, 50.0, 43.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 4, 10, 7, 73.6, 41.2, 63.6, 23.8, 50.0, 34.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 3, 8, 8, 79.2, 50.0, 72.7, 19.0, 59.3, 30.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 0, 8, 11, 84.9, 57.9, 100.0, 19.0, 73.3, 32.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 1, 7, 10, 84.9, 58.8, 90.9, 16.7, 71.4, 28.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 1, 6, 10, 86.8, 62.5, 90.9, 14.3, 74.1, 24.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 9, 10, 81.1, 52.6, 90.9, 21.4, 66.7, 34.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 4, 13, 7, 67.9, 35.0, 63.6, 31.0, 45.2, 41.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 4, 7, 7, 79.2, 50.0, 63.6, 16.7, 56.0, 26.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 3, 10, 8, 75.5, 44.4, 72.7, 23.8, 55.2, 35.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 3, 10, 8, 75.5, 44.4, 72.7, 23.8, 55.2, 35.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 3, 9, 8, 77.4, 47.1, 72.7, 21.4, 57.1, 33.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 3, 11, 8, 73.6, 42.1, 72.7, 26.2, 53.3, 38.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 9, 10, 81.1, 52.6, 90.9, 21.4, 66.7, 34.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 2, 8, 9, 81.1, 52.9, 81.8, 19.0, 64.3, 30.9
