prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 11, 5, 0, 1, 70.6, 100.0, 16.7, 0.0, 28.6, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 10, 5, 1, 1, 64.7, 50.0, 16.7, 9.1, 25.0, 11.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 11, 5, 0, 1, 70.6, 100.0, 16.7, 0.0, 28.6, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 11, 5, 0, 1, 70.6, 100.0, 16.7, 0.0, 28.6, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 10, 5, 1, 1, 64.7, 50.0, 16.7, 9.1, 25.0, 11.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 10, 5, 1, 1, 64.7, 50.0, 16.7, 9.1, 25.0, 11.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 10, 5, 1, 1, 64.7, 50.0, 16.7, 9.1, 25.0, 11.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 10, 6, 1, 0, 58.8, 0.0, 0.0, 9.1, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 11, 5, 0, 1, 70.6, 100.0, 16.7, 0.0, 28.6, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 11, 5, 0, 1, 70.6, 100.0, 16.7, 0.0, 28.6, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 10, 5, 1, 1, 64.7, 50.0, 16.7, 9.1, 25.0, 11.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 11, 6, 0, 0, 64.7, 0.0, 0.0, 0.0, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 11, 3, 0, 3, 82.4, 100.0, 50.0, 0.0, 66.7, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 11, 5, 0, 1, 70.6, 100.0, 16.7, 0.0, 28.6, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 10, 5, 1, 1, 64.7, 50.0, 16.7, 9.1, 25.0, 11.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 11, 6, 0, 0, 64.7, 0.0, 0.0, 0.0, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 10, 4, 1, 2, 70.6, 66.7, 33.3, 9.1, 44.4, 14.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 11, 6, 0, 0, 64.7, 0.0, 0.0, 0.0, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 11, 5, 0, 1, 70.6, 100.0, 16.7, 0.0, 28.6, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 11, 4, 0, 2, 76.5, 100.0, 33.3, 0.0, 50.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 10, 4, 1, 2, 70.6, 66.7, 33.3, 9.1, 44.4, 14.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 11, 5, 0, 1, 70.6, 100.0, 16.7, 0.0, 28.6, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 10, 6, 1, 0, 58.8, 0.0, 0.0, 9.1, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 11, 5, 0, 1, 70.6, 100.0, 16.7, 0.0, 28.6, 0.0
