prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 87, 5, 17, 3, 80.4, 15.0, 37.5, 16.3, 21.4, 22.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 89, 5, 15, 3, 82.1, 16.7, 37.5, 14.4, 23.1, 20.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 86, 6, 18, 2, 78.6, 10.0, 25.0, 17.3, 14.3, 20.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 5, 11, 3, 85.7, 21.4, 37.5, 10.6, 27.3, 16.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 90, 5, 14, 3, 83.0, 17.6, 37.5, 13.5, 24.0, 19.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 87, 6, 17, 2, 79.5, 10.5, 25.0, 16.3, 14.8, 19.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 86, 6, 18, 2, 78.6, 10.0, 25.0, 17.3, 14.3, 20.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 90, 2, 14, 6, 85.7, 30.0, 75.0, 13.5, 42.9, 22.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 82, 5, 22, 3, 75.9, 12.0, 37.5, 21.2, 18.2, 27.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 90, 5, 14, 3, 83.0, 17.6, 37.5, 13.5, 24.0, 19.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 87, 5, 17, 3, 80.4, 15.0, 37.5, 16.3, 21.4, 22.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 86, 4, 18, 4, 80.4, 18.2, 50.0, 17.3, 26.7, 25.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 87, 4, 17, 4, 81.3, 19.0, 50.0, 16.3, 27.6, 24.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 82, 6, 22, 2, 75.0, 8.3, 25.0, 21.2, 12.5, 22.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 85, 7, 19, 1, 76.8, 5.0, 12.5, 18.3, 7.1, 14.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 91, 4, 13, 4, 84.8, 23.5, 50.0, 12.5, 32.0, 20.0
