prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 2, 31, 6, 70.5, 16.2, 75.0, 29.8, 26.7, 42.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 70, 4, 34, 4, 66.1, 10.5, 50.0, 32.7, 17.4, 39.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 3, 29, 5, 71.4, 14.7, 62.5, 27.9, 23.8, 38.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 70, 2, 34, 6, 67.9, 15.0, 75.0, 32.7, 25.0, 45.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 3, 25, 5, 75.0, 16.7, 62.5, 24.0, 26.3, 34.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 4, 31, 4, 68.8, 11.4, 50.0, 29.8, 18.6, 37.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 4, 31, 4, 68.8, 11.4, 50.0, 29.8, 18.6, 37.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 4, 29, 4, 70.5, 12.1, 50.0, 27.9, 19.5, 35.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 71, 2, 33, 6, 68.8, 15.4, 75.0, 31.7, 25.5, 44.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 76, 4, 28, 4, 71.4, 12.5, 50.0, 26.9, 20.0, 35.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 72, 4, 32, 4, 67.9, 11.1, 50.0, 30.8, 18.2, 38.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 71, 3, 33, 5, 67.9, 13.2, 62.5, 31.7, 21.7, 42.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 74, 3, 30, 5, 70.5, 14.3, 62.5, 28.8, 23.3, 39.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 3, 29, 5, 71.4, 14.7, 62.5, 27.9, 23.8, 38.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 74, 5, 30, 3, 68.8, 9.1, 37.5, 28.8, 14.6, 32.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 77, 2, 27, 6, 74.1, 18.2, 75.0, 26.0, 29.3, 38.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 4, 31, 4, 68.8, 11.4, 50.0, 29.8, 18.6, 37.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 1, 31, 7, 71.4, 18.4, 87.5, 29.8, 30.4, 44.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 72, 4, 32, 4, 67.9, 11.1, 50.0, 30.8, 18.2, 38.1
