prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 4, 12, 1, 68.0, 7.7, 20.0, 26.7, 11.1, 22.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 2, 14, 3, 68.0, 17.6, 60.0, 31.1, 27.3, 41.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 1, 11, 4, 76.0, 26.7, 80.0, 24.4, 40.0, 37.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 0, 12, 5, 76.0, 29.4, 100.0, 26.7, 45.5, 42.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 0, 11, 5, 78.0, 31.3, 100.0, 24.4, 47.6, 39.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 0, 12, 5, 76.0, 29.4, 100.0, 26.7, 45.5, 42.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 12, 4, 74.0, 25.0, 80.0, 26.7, 38.1, 40.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 2, 11, 3, 74.0, 21.4, 60.0, 24.4, 31.6, 34.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 3, 16, 2, 62.0, 11.1, 40.0, 35.6, 17.4, 37.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 1, 11, 4, 76.0, 26.7, 80.0, 24.4, 40.0, 37.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 1, 13, 4, 72.0, 23.5, 80.0, 28.9, 36.4, 42.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 13, 3, 70.0, 18.8, 60.0, 28.9, 28.6, 39.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 2, 15, 3, 66.0, 16.7, 60.0, 33.3, 26.1, 42.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 3, 14, 2, 66.0, 12.5, 40.0, 31.1, 19.0, 35.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 3, 12, 2, 70.0, 14.3, 40.0, 26.7, 21.1, 32.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 1, 13, 4, 72.0, 23.5, 80.0, 28.9, 36.4, 42.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 3, 14, 2, 66.0, 12.5, 40.0, 31.1, 19.0, 35.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 12, 3, 72.0, 20.0, 60.0, 26.7, 30.0, 36.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 2, 14, 3, 68.0, 17.6, 60.0, 31.1, 27.3, 41.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 1, 13, 4, 72.0, 23.5, 80.0, 28.9, 36.4, 42.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 3, 12, 2, 70.0, 14.3, 40.0, 26.7, 21.1, 32.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 13, 3, 70.0, 18.8, 60.0, 28.9, 28.6, 39.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 3, 12, 2, 70.0, 14.3, 40.0, 26.7, 21.1, 32.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 3, 14, 2, 66.0, 12.5, 40.0, 31.1, 19.0, 35.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 12, 4, 74.0, 25.0, 80.0, 26.7, 38.1, 40.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 12, 4, 74.0, 25.0, 80.0, 26.7, 38.1, 40.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 1, 11, 4, 76.0, 26.7, 80.0, 24.4, 40.0, 37.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 0, 12, 5, 76.0, 29.4, 100.0, 26.7, 45.5, 42.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 1, 13, 4, 72.0, 23.5, 80.0, 28.9, 36.4, 42.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 12, 3, 72.0, 20.0, 60.0, 26.7, 30.0, 36.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 12, 4, 74.0, 25.0, 80.0, 26.7, 38.1, 40.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 4, 16, 1, 60.0, 5.9, 20.0, 35.6, 9.1, 25.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 13, 3, 70.0, 18.8, 60.0, 28.9, 28.6, 39.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 12, 3, 72.0, 20.0, 60.0, 26.7, 30.0, 36.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 2, 9, 3, 78.0, 25.0, 60.0, 20.0, 35.3, 30.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 3, 13, 2, 68.0, 13.3, 40.0, 28.9, 20.0, 33.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 1, 14, 4, 70.0, 22.2, 80.0, 31.1, 34.8, 44.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 1, 10, 4, 78.0, 28.6, 80.0, 22.2, 42.1, 34.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 1, 14, 4, 70.0, 22.2, 80.0, 31.1, 34.8, 44.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 2, 16, 3, 64.0, 15.8, 60.0, 35.6, 25.0, 44.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 0, 11, 5, 78.0, 31.3, 100.0, 24.4, 47.6, 39.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 3, 15, 2, 64.0, 11.8, 40.0, 33.3, 18.2, 36.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 13, 3, 70.0, 18.8, 60.0, 28.9, 28.6, 39.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 0, 10, 5, 80.0, 33.3, 100.0, 22.2, 50.0, 36.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 12, 3, 72.0, 20.0, 60.0, 26.7, 30.0, 36.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 12, 4, 74.0, 25.0, 80.0, 26.7, 38.1, 40.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 13, 3, 70.0, 18.8, 60.0, 28.9, 28.6, 39.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 1, 14, 4, 70.0, 22.2, 80.0, 31.1, 34.8, 44.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 13, 3, 70.0, 18.8, 60.0, 28.9, 28.6, 39.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 12, 4, 74.0, 25.0, 80.0, 26.7, 38.1, 40.0
