prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 2, 11, 3, 72.3, 21.4, 60.0, 26.2, 31.6, 36.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 1, 10, 4, 76.6, 28.6, 80.0, 23.8, 42.1, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 0, 8, 5, 83.0, 38.5, 100.0, 19.0, 55.6, 32.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 3, 11, 2, 70.2, 15.4, 40.0, 26.2, 22.2, 31.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 1, 10, 4, 76.6, 28.6, 80.0, 23.8, 42.1, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 10, 3, 74.5, 23.1, 60.0, 23.8, 33.3, 34.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 1, 11, 4, 74.5, 26.7, 80.0, 26.2, 40.0, 39.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 3, 12, 2, 68.1, 14.3, 40.0, 28.6, 21.1, 33.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 1, 13, 4, 70.2, 23.5, 80.0, 31.0, 36.4, 44.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 1, 11, 4, 74.5, 26.7, 80.0, 26.2, 40.0, 39.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 0, 10, 5, 78.7, 33.3, 100.0, 23.8, 50.0, 38.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 0, 12, 5, 74.5, 29.4, 100.0, 28.6, 45.5, 44.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 0, 11, 5, 76.6, 31.3, 100.0, 26.2, 47.6, 41.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 10, 3, 74.5, 23.1, 60.0, 23.8, 33.3, 34.1
