prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 139, 13, 40, 20, 75.0, 33.3, 60.6, 22.3, 43.0, 32.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 137, 16, 42, 17, 72.6, 28.8, 51.5, 23.5, 37.0, 32.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 142, 10, 37, 23, 77.8, 38.3, 69.7, 20.7, 49.5, 31.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 142, 11, 37, 22, 77.4, 37.3, 66.7, 20.7, 47.8, 31.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 144, 10, 35, 23, 78.8, 39.7, 69.7, 19.6, 50.5, 30.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 142, 11, 37, 22, 77.4, 37.3, 66.7, 20.7, 47.8, 31.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 140, 11, 39, 22, 76.4, 36.1, 66.7, 21.8, 46.8, 32.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 139, 14, 40, 19, 74.5, 32.2, 57.6, 22.3, 41.3, 32.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 138, 12, 41, 21, 75.0, 33.9, 63.6, 22.9, 44.2, 33.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 133, 17, 46, 16, 70.3, 25.8, 48.5, 25.7, 33.7, 33.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 140, 15, 39, 18, 74.5, 31.6, 54.5, 21.8, 40.0, 31.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 142, 13, 37, 20, 76.4, 35.1, 60.6, 20.7, 44.4, 30.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 141, 17, 38, 16, 74.1, 29.6, 48.5, 21.2, 36.8, 29.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 138, 17, 41, 16, 72.6, 28.1, 48.5, 22.9, 35.6, 31.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 144, 13, 35, 20, 77.4, 36.4, 60.6, 19.6, 45.5, 29.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 144, 12, 35, 21, 77.8, 37.5, 63.6, 19.6, 47.2, 29.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 144, 16, 35, 17, 75.9, 32.7, 51.5, 19.6, 40.0, 28.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 141, 14, 38, 19, 75.5, 33.3, 57.6, 21.2, 42.2, 31.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 138, 11, 41, 22, 75.5, 34.9, 66.7, 22.9, 45.8, 34.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 144, 14, 35, 19, 76.9, 35.2, 57.6, 19.6, 43.7, 29.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 140, 11, 39, 22, 76.4, 36.1, 66.7, 21.8, 46.8, 32.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 140, 13, 39, 20, 75.5, 33.9, 60.6, 21.8, 43.5, 32.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 146, 10, 33, 23, 79.7, 41.1, 69.7, 18.4, 51.7, 29.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 149, 4, 30, 29, 84.0, 49.2, 87.9, 16.8, 63.0, 28.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 137, 16, 42, 17, 72.6, 28.8, 51.5, 23.5, 37.0, 32.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 136, 14, 43, 19, 73.1, 30.6, 57.6, 24.0, 40.0, 33.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 140, 12, 39, 21, 75.9, 35.0, 63.6, 21.8, 45.2, 32.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 139, 14, 40, 19, 74.5, 32.2, 57.6, 22.3, 41.3, 32.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 142, 13, 37, 20, 76.4, 35.1, 60.6, 20.7, 44.4, 30.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 139, 16, 40, 17, 73.6, 29.8, 51.5, 22.3, 37.8, 31.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 140, 15, 39, 18, 74.5, 31.6, 54.5, 21.8, 40.0, 31.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 142, 13, 37, 20, 76.4, 35.1, 60.6, 20.7, 44.4, 30.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 138, 15, 41, 18, 73.6, 30.5, 54.5, 22.9, 39.1, 32.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 137, 15, 42, 18, 73.1, 30.0, 54.5, 23.5, 38.7, 32.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 136, 16, 43, 17, 72.2, 28.3, 51.5, 24.0, 36.6, 32.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 139, 15, 40, 18, 74.1, 31.0, 54.5, 22.3, 39.6, 31.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 142, 12, 37, 21, 76.9, 36.2, 63.6, 20.7, 46.2, 31.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 140, 15, 39, 18, 74.5, 31.6, 54.5, 21.8, 40.0, 31.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 141, 9, 38, 24, 77.8, 38.7, 72.7, 21.2, 50.5, 32.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 143, 11, 36, 22, 77.8, 37.9, 66.7, 20.1, 48.4, 30.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 139, 15, 40, 18, 74.1, 31.0, 54.5, 22.3, 39.6, 31.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 140, 15, 39, 18, 74.5, 31.6, 54.5, 21.8, 40.0, 31.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 145, 7, 34, 26, 80.7, 43.3, 78.8, 19.0, 55.9, 30.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 141, 12, 38, 21, 76.4, 35.6, 63.6, 21.2, 45.7, 31.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 140, 13, 39, 20, 75.5, 33.9, 60.6, 21.8, 43.5, 32.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 142, 15, 37, 18, 75.5, 32.7, 54.5, 20.7, 40.9, 30.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 145, 11, 34, 22, 78.8, 39.3, 66.7, 19.0, 49.4, 29.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 141, 13, 38, 20, 75.9, 34.5, 60.6, 21.2, 44.0, 31.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 142, 14, 37, 19, 75.9, 33.9, 57.6, 20.7, 42.7, 30.4
