prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 4, 29, 4, 70.5, 12.1, 50.0, 27.9, 19.5, 35.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 74, 2, 30, 6, 71.4, 16.7, 75.0, 28.8, 27.3, 41.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 4, 29, 4, 70.5, 12.1, 50.0, 27.9, 19.5, 35.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 3, 29, 5, 71.4, 14.7, 62.5, 27.9, 23.8, 38.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 6, 31, 2, 67.0, 6.1, 25.0, 29.8, 9.8, 27.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 3, 29, 5, 71.4, 14.7, 62.5, 27.9, 23.8, 38.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 3, 29, 5, 71.4, 14.7, 62.5, 27.9, 23.8, 38.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 76, 2, 28, 6, 73.2, 17.6, 75.0, 26.9, 28.6, 39.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 2, 26, 6, 75.0, 18.8, 75.0, 25.0, 30.0, 37.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 5, 29, 3, 69.6, 9.4, 37.5, 27.9, 15.0, 32.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 76, 2, 28, 6, 73.2, 17.6, 75.0, 26.9, 28.6, 39.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 3, 31, 5, 69.6, 13.9, 62.5, 29.8, 22.7, 40.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 5, 31, 3, 67.9, 8.8, 37.5, 29.8, 14.3, 33.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 71, 5, 33, 3, 66.1, 8.3, 37.5, 31.7, 13.6, 34.4
