prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 0, 12, 4, 71.4, 25.0, 100.0, 31.6, 40.0, 48.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 0, 12, 4, 71.4, 25.0, 100.0, 31.6, 40.0, 48.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 2, 13, 2, 64.3, 13.3, 50.0, 34.2, 21.1, 40.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 1, 11, 3, 71.4, 21.4, 75.0, 28.9, 33.3, 41.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 0, 10, 4, 76.2, 28.6, 100.0, 26.3, 44.4, 41.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 1, 12, 3, 69.0, 20.0, 75.0, 31.6, 31.6, 44.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 1, 11, 3, 71.4, 21.4, 75.0, 28.9, 33.3, 41.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 1, 11, 3, 71.4, 21.4, 75.0, 28.9, 33.3, 41.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 2, 13, 2, 64.3, 13.3, 50.0, 34.2, 21.1, 40.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 1, 11, 3, 71.4, 21.4, 75.0, 28.9, 33.3, 41.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 1, 12, 3, 69.0, 20.0, 75.0, 31.6, 31.6, 44.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 4, 12, 0, 61.9, 0.0, 0.0, 31.6, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 2, 12, 2, 66.7, 14.3, 50.0, 31.6, 22.2, 38.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 24, 2, 14, 2, 61.9, 12.5, 50.0, 36.8, 20.0, 42.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 1, 11, 3, 71.4, 21.4, 75.0, 28.9, 33.3, 41.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 0, 8, 4, 81.0, 33.3, 100.0, 21.1, 50.0, 34.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 3, 12, 1, 64.3, 7.7, 25.0, 31.6, 11.8, 27.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 2, 12, 2, 66.7, 14.3, 50.0, 31.6, 22.2, 38.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 3, 10, 1, 69.0, 9.1, 25.0, 26.3, 13.3, 25.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 2, 13, 2, 64.3, 13.3, 50.0, 34.2, 21.1, 40.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 0, 12, 4, 71.4, 25.0, 100.0, 31.6, 40.0, 48.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 2, 12, 2, 66.7, 14.3, 50.0, 31.6, 22.2, 38.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 1, 12, 3, 69.0, 20.0, 75.0, 31.6, 31.6, 44.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 1, 12, 3, 69.0, 20.0, 75.0, 31.6, 31.6, 44.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 1, 10, 3, 73.8, 23.1, 75.0, 26.3, 35.3, 39.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 1, 12, 3, 69.0, 20.0, 75.0, 31.6, 31.6, 44.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 2, 9, 2, 73.8, 18.2, 50.0, 23.7, 26.7, 32.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 2, 9, 2, 73.8, 18.2, 50.0, 23.7, 26.7, 32.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 1, 9, 3, 76.2, 25.0, 75.0, 23.7, 37.5, 36.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 1, 10, 3, 73.8, 23.1, 75.0, 26.3, 35.3, 39.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 1, 12, 3, 69.0, 20.0, 75.0, 31.6, 31.6, 44.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 2, 12, 2, 66.7, 14.3, 50.0, 31.6, 22.2, 38.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 2, 12, 2, 66.7, 14.3, 50.0, 31.6, 22.2, 38.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 1, 11, 3, 71.4, 21.4, 75.0, 28.9, 33.3, 41.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 0, 10, 4, 76.2, 28.6, 100.0, 26.3, 44.4, 41.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 1, 13, 3, 66.7, 18.8, 75.0, 34.2, 30.0, 47.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 1, 10, 3, 73.8, 23.1, 75.0, 26.3, 35.3, 39.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 1, 10, 3, 73.8, 23.1, 75.0, 26.3, 35.3, 39.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 2, 13, 2, 64.3, 13.3, 50.0, 34.2, 21.1, 40.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 1, 10, 3, 73.8, 23.1, 75.0, 26.3, 35.3, 39.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 1, 13, 3, 66.7, 18.8, 75.0, 34.2, 30.0, 47.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 1, 12, 3, 69.0, 20.0, 75.0, 31.6, 31.6, 44.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 2, 12, 2, 66.7, 14.3, 50.0, 31.6, 22.2, 38.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 1, 11, 3, 71.4, 21.4, 75.0, 28.9, 33.3, 41.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 2, 13, 2, 64.3, 13.3, 50.0, 34.2, 21.1, 40.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 0, 12, 4, 71.4, 25.0, 100.0, 31.6, 40.0, 48.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 1, 8, 3, 78.6, 27.3, 75.0, 21.1, 40.0, 32.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 0, 10, 4, 76.2, 28.6, 100.0, 26.3, 44.4, 41.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 1, 12, 3, 69.0, 20.0, 75.0, 31.6, 31.6, 44.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 1, 13, 3, 66.7, 18.8, 75.0, 34.2, 30.0, 47.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 2, 9, 2, 73.8, 18.2, 50.0, 23.7, 26.7, 32.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 2, 10, 2, 71.4, 16.7, 50.0, 26.3, 25.0, 34.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 3, 12, 1, 64.3, 7.7, 25.0, 31.6, 11.8, 27.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 1, 9, 3, 76.2, 25.0, 75.0, 23.7, 37.5, 36.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 2, 12, 2, 66.7, 14.3, 50.0, 31.6, 22.2, 38.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 3, 12, 1, 64.3, 7.7, 25.0, 31.6, 11.8, 27.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 24, 3, 14, 1, 59.5, 6.7, 25.0, 36.8, 10.5, 29.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 0, 10, 4, 76.2, 28.6, 100.0, 26.3, 44.4, 41.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 1, 12, 3, 69.0, 20.0, 75.0, 31.6, 31.6, 44.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 24, 2, 14, 2, 61.9, 12.5, 50.0, 36.8, 20.0, 42.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 1, 13, 3, 66.7, 18.8, 75.0, 34.2, 30.0, 47.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 1, 12, 3, 69.0, 20.0, 75.0, 31.6, 31.6, 44.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 1, 10, 3, 73.8, 23.1, 75.0, 26.3, 35.3, 39.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 2, 13, 2, 64.3, 13.3, 50.0, 34.2, 21.1, 40.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 2, 11, 2, 69.0, 15.4, 50.0, 28.9, 23.5, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 1, 11, 3, 71.4, 21.4, 75.0, 28.9, 33.3, 41.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 1, 13, 3, 66.7, 18.8, 75.0, 34.2, 30.0, 47.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 1, 9, 3, 76.2, 25.0, 75.0, 23.7, 37.5, 36.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 1, 13, 3, 66.7, 18.8, 75.0, 34.2, 30.0, 47.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 3, 8, 1, 73.8, 11.1, 25.0, 21.1, 15.4, 22.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 1, 13, 3, 66.7, 18.8, 75.0, 34.2, 30.0, 47.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 3, 13, 1, 61.9, 7.1, 25.0, 34.2, 11.1, 28.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 1, 9, 3, 76.2, 25.0, 75.0, 23.7, 37.5, 36.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 1, 11, 3, 71.4, 21.4, 75.0, 28.9, 33.3, 41.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 1, 12, 3, 69.0, 20.0, 75.0, 31.6, 31.6, 44.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 2, 13, 2, 64.3, 13.3, 50.0, 34.2, 21.1, 40.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 1, 11, 3, 71.4, 21.4, 75.0, 28.9, 33.3, 41.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 0, 8, 4, 81.0, 33.3, 100.0, 21.1, 50.0, 34.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 0, 9, 4, 78.6, 30.8, 100.0, 23.7, 47.1, 38.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 2, 13, 2, 64.3, 13.3, 50.0, 34.2, 21.1, 40.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 1, 12, 3, 69.0, 20.0, 75.0, 31.6, 31.6, 44.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 3, 11, 1, 66.7, 8.3, 25.0, 28.9, 12.5, 26.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 25, 4, 13, 0, 59.5, 0.0, 0.0, 34.2, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 1, 12, 3, 69.0, 20.0, 75.0, 31.6, 31.6, 44.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 2, 12, 2, 66.7, 14.3, 50.0, 31.6, 22.2, 38.7
