prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 152, 18, 27, 15, 78.8, 35.7, 45.5, 15.1, 40.0, 22.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 151, 20, 28, 13, 77.4, 31.7, 39.4, 15.6, 35.1, 22.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 148, 17, 31, 16, 77.4, 34.0, 48.5, 17.3, 40.0, 25.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 156, 18, 23, 15, 80.7, 39.5, 45.5, 12.8, 42.3, 20.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 154, 16, 25, 17, 80.7, 40.5, 51.5, 14.0, 45.3, 22.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 153, 16, 26, 17, 80.2, 39.5, 51.5, 14.5, 44.7, 22.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 158, 16, 21, 17, 82.5, 44.7, 51.5, 11.7, 47.9, 19.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 150, 23, 29, 10, 75.5, 25.6, 30.3, 16.2, 27.8, 21.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 156, 15, 23, 18, 82.1, 43.9, 54.5, 12.8, 48.6, 20.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 157, 15, 22, 18, 82.5, 45.0, 54.5, 12.3, 49.3, 20.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 150, 20, 29, 13, 76.9, 31.0, 39.4, 16.2, 34.7, 23.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 149, 20, 30, 13, 76.4, 30.2, 39.4, 16.8, 34.2, 23.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 156, 16, 23, 17, 81.6, 42.5, 51.5, 12.8, 46.6, 20.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 154, 14, 25, 19, 81.6, 43.2, 57.6, 14.0, 49.4, 22.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 156, 12, 23, 21, 83.5, 47.7, 63.6, 12.8, 54.5, 21.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 152, 18, 27, 15, 78.8, 35.7, 45.5, 15.1, 40.0, 22.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 151, 16, 28, 17, 79.2, 37.8, 51.5, 15.6, 43.6, 24.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 154, 17, 25, 16, 80.2, 39.0, 48.5, 14.0, 43.2, 21.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 156, 16, 23, 17, 81.6, 42.5, 51.5, 12.8, 46.6, 20.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 156, 15, 23, 18, 82.1, 43.9, 54.5, 12.8, 48.6, 20.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 152, 16, 27, 17, 79.7, 38.6, 51.5, 15.1, 44.2, 23.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 158, 16, 21, 17, 82.5, 44.7, 51.5, 11.7, 47.9, 19.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 157, 21, 22, 12, 79.7, 35.3, 36.4, 12.3, 35.8, 18.4
