prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 77, 3, 27, 5, 73.2, 15.6, 62.5, 26.0, 25.0, 36.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 4, 29, 4, 70.5, 12.1, 50.0, 27.9, 19.5, 35.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 81, 3, 23, 5, 76.8, 17.9, 62.5, 22.1, 27.8, 32.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 2, 26, 6, 75.0, 18.8, 75.0, 25.0, 30.0, 37.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 3, 25, 5, 75.0, 16.7, 62.5, 24.0, 26.3, 34.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 76, 4, 28, 4, 71.4, 12.5, 50.0, 26.9, 20.0, 35.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 81, 3, 23, 5, 76.8, 17.9, 62.5, 22.1, 27.8, 32.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 1, 26, 7, 75.9, 21.2, 87.5, 25.0, 34.1, 38.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 76, 6, 28, 2, 69.6, 6.7, 25.0, 26.9, 10.5, 25.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 2, 26, 6, 75.0, 18.8, 75.0, 25.0, 30.0, 37.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 4, 26, 4, 73.2, 13.3, 50.0, 25.0, 21.1, 33.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 5, 25, 3, 73.2, 10.7, 37.5, 24.0, 16.7, 29.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 0, 26, 8, 76.8, 23.5, 100.0, 25.0, 38.1, 40.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 4, 25, 4, 74.1, 13.8, 50.0, 24.0, 21.6, 32.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 4, 25, 4, 74.1, 13.8, 50.0, 24.0, 21.6, 32.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 77, 2, 27, 6, 74.1, 18.2, 75.0, 26.0, 29.3, 38.6
