prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 6, 3, 5, 83.0, 62.5, 45.5, 7.1, 52.6, 12.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 6, 3, 5, 83.0, 62.5, 45.5, 7.1, 52.6, 12.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 5, 2, 6, 86.8, 75.0, 54.5, 4.8, 63.2, 8.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 5, 2, 6, 86.8, 75.0, 54.5, 4.8, 63.2, 8.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 7, 4, 4, 79.2, 50.0, 36.4, 9.5, 42.1, 15.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 5, 2, 6, 86.8, 75.0, 54.5, 4.8, 63.2, 8.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 6, 2, 5, 84.9, 71.4, 45.5, 4.8, 55.6, 8.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 5, 3, 6, 84.9, 66.7, 54.5, 7.1, 60.0, 12.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 8, 5, 3, 75.5, 37.5, 27.3, 11.9, 31.6, 16.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 7, 4, 4, 79.2, 50.0, 36.4, 9.5, 42.1, 15.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 4, 0, 7, 92.5, 100.0, 63.6, 0.0, 77.8, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 6, 2, 5, 84.9, 71.4, 45.5, 4.8, 55.6, 8.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 8, 4, 3, 77.4, 42.9, 27.3, 9.5, 33.3, 14.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 5, 1, 6, 88.7, 85.7, 54.5, 2.4, 66.7, 4.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 7, 5, 4, 77.4, 44.4, 36.4, 11.9, 40.0, 17.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 5, 1, 6, 88.7, 85.7, 54.5, 2.4, 66.7, 4.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 7, 4, 4, 79.2, 50.0, 36.4, 9.5, 42.1, 15.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 7, 5, 4, 77.4, 44.4, 36.4, 11.9, 40.0, 17.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 4, 1, 7, 90.6, 87.5, 63.6, 2.4, 73.7, 4.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 8, 3, 3, 79.2, 50.0, 27.3, 7.1, 35.3, 11.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 6, 4, 5, 81.1, 55.6, 45.5, 9.5, 50.0, 15.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 5, 1, 6, 88.7, 85.7, 54.5, 2.4, 66.7, 4.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 6, 2, 5, 84.9, 71.4, 45.5, 4.8, 55.6, 8.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 7, 3, 4, 81.1, 57.1, 36.4, 7.1, 44.4, 11.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 3, 2, 8, 90.6, 80.0, 72.7, 4.8, 76.2, 8.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 4, 2, 7, 88.7, 77.8, 63.6, 4.8, 70.0, 8.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 4, 2, 7, 88.7, 77.8, 63.6, 4.8, 70.0, 8.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 7, 3, 4, 81.1, 57.1, 36.4, 7.1, 44.4, 11.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 7, 2, 4, 83.0, 66.7, 36.4, 4.8, 47.1, 8.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 6, 2, 5, 84.9, 71.4, 45.5, 4.8, 55.6, 8.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 5, 2, 6, 86.8, 75.0, 54.5, 4.8, 63.2, 8.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 7, 5, 4, 77.4, 44.4, 36.4, 11.9, 40.0, 17.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 4, 3, 7, 86.8, 70.0, 63.6, 7.1, 66.7, 12.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 7, 4, 4, 79.2, 50.0, 36.4, 9.5, 42.1, 15.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 5, 2, 6, 86.8, 75.0, 54.5, 4.8, 63.2, 8.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 7, 5, 4, 77.4, 44.4, 36.4, 11.9, 40.0, 17.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 4, 2, 7, 88.7, 77.8, 63.6, 4.8, 70.0, 8.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 6, 1, 5, 86.8, 83.3, 45.5, 2.4, 58.8, 4.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 5, 2, 6, 86.8, 75.0, 54.5, 4.8, 63.2, 8.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 6, 4, 5, 81.1, 55.6, 45.5, 9.5, 50.0, 15.7
