prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 2, 4, 3, 88.0, 42.9, 60.0, 8.9, 50.0, 15.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 2, 3, 3, 90.0, 50.0, 60.0, 6.7, 54.5, 12.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 4, 8, 1, 76.0, 11.1, 20.0, 17.8, 14.3, 18.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 3, 6, 2, 82.0, 25.0, 40.0, 13.3, 30.8, 20.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 2, 4, 3, 88.0, 42.9, 60.0, 8.9, 50.0, 15.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 4, 6, 1, 80.0, 14.3, 20.0, 13.3, 16.7, 16.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 4, 3, 1, 86.0, 25.0, 20.0, 6.7, 22.2, 10.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 3, 5, 2, 84.0, 28.6, 40.0, 11.1, 33.3, 17.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 3, 5, 2, 84.0, 28.6, 40.0, 11.1, 33.3, 17.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 4, 9, 1, 74.0, 10.0, 20.0, 20.0, 13.3, 20.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 2, 4, 3, 88.0, 42.9, 60.0, 8.9, 50.0, 15.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 2, 6, 3, 84.0, 33.3, 60.0, 13.3, 42.9, 21.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 4, 5, 1, 82.0, 16.7, 20.0, 11.1, 18.2, 14.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 3, 6, 2, 82.0, 25.0, 40.0, 13.3, 30.8, 20.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 3, 5, 2, 84.0, 28.6, 40.0, 11.1, 33.3, 17.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 3, 6, 2, 82.0, 25.0, 40.0, 13.3, 30.8, 20.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 4, 6, 1, 80.0, 14.3, 20.0, 13.3, 16.7, 16.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 2, 4, 3, 88.0, 42.9, 60.0, 8.9, 50.0, 15.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 3, 8, 2, 78.0, 20.0, 40.0, 17.8, 26.7, 24.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 2, 5, 3, 86.0, 37.5, 60.0, 11.1, 46.2, 18.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 3, 5, 2, 84.0, 28.6, 40.0, 11.1, 33.3, 17.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 4, 5, 1, 82.0, 16.7, 20.0, 11.1, 18.2, 14.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 3, 4, 2, 86.0, 33.3, 40.0, 8.9, 36.4, 14.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 3, 6, 2, 82.0, 25.0, 40.0, 13.3, 30.8, 20.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 3, 7, 2, 80.0, 22.2, 40.0, 15.6, 28.6, 22.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 3, 4, 2, 86.0, 33.3, 40.0, 8.9, 36.4, 14.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 3, 5, 2, 84.0, 28.6, 40.0, 11.1, 33.3, 17.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 1, 2, 4, 94.0, 66.7, 80.0, 4.4, 72.7, 8.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 3, 4, 2, 86.0, 33.3, 40.0, 8.9, 36.4, 14.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 4, 8, 1, 76.0, 11.1, 20.0, 17.8, 14.3, 18.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 3, 5, 2, 84.0, 28.6, 40.0, 11.1, 33.3, 17.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 2, 4, 3, 88.0, 42.9, 60.0, 8.9, 50.0, 15.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 4, 8, 1, 76.0, 11.1, 20.0, 17.8, 14.3, 18.8
