prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 3, 2, 2, 89.4, 50.0, 40.0, 4.8, 44.4, 8.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 2, 2, 3, 91.5, 60.0, 60.0, 4.8, 60.0, 8.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 3, 2, 2, 89.4, 50.0, 40.0, 4.8, 44.4, 8.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 4, 2, 1, 87.2, 33.3, 20.0, 4.8, 25.0, 7.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 3, 3, 2, 87.2, 40.0, 40.0, 7.1, 40.0, 12.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 1, 0, 4, 97.9, 100.0, 80.0, 0.0, 88.9, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 4, 3, 1, 85.1, 25.0, 20.0, 7.1, 22.2, 10.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 4, 2, 1, 87.2, 33.3, 20.0, 4.8, 25.0, 7.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 2, 0, 3, 95.7, 100.0, 60.0, 0.0, 75.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 3, 0, 2, 93.6, 100.0, 40.0, 0.0, 57.1, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 3, 2, 2, 89.4, 50.0, 40.0, 4.8, 44.4, 8.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 4, 2, 1, 87.2, 33.3, 20.0, 4.8, 25.0, 7.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 4, 2, 1, 87.2, 33.3, 20.0, 4.8, 25.0, 7.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 4, 2, 1, 87.2, 33.3, 20.0, 4.8, 25.0, 7.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 3, 2, 2, 89.4, 50.0, 40.0, 4.8, 44.4, 8.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 4, 1, 1, 89.4, 50.0, 20.0, 2.4, 28.6, 4.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 3, 2, 2, 89.4, 50.0, 40.0, 4.8, 44.4, 8.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 3, 4, 2, 85.1, 33.3, 40.0, 9.5, 36.4, 15.4
