prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 11, 0, 0, 79.2, 0.0, 0.0, 0.0, 0.0, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 9, 3, 2, 77.4, 40.0, 18.2, 7.1, 25.0, 10.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 10, 3, 1, 75.5, 25.0, 9.1, 7.1, 13.3, 8.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 8, 2, 3, 81.1, 60.0, 27.3, 4.8, 37.5, 8.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 3, 5, 8, 84.9, 61.5, 72.7, 11.9, 66.7, 20.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 5, 3, 6, 84.9, 66.7, 54.5, 7.1, 60.0, 12.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 8, 3, 3, 79.2, 50.0, 27.3, 7.1, 35.3, 11.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 4, 4, 7, 84.9, 63.6, 63.6, 9.5, 63.6, 16.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 5, 4, 6, 83.0, 60.0, 54.5, 9.5, 57.1, 16.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 8, 0, 3, 84.9, 100.0, 27.3, 0.0, 42.9, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 6, 1, 5, 86.8, 83.3, 45.5, 2.4, 58.8, 4.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 5, 4, 6, 83.0, 60.0, 54.5, 9.5, 57.1, 16.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 9, 4, 2, 75.5, 33.3, 18.2, 9.5, 23.5, 12.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 6, 6, 5, 77.4, 45.5, 45.5, 14.3, 45.5, 21.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 9, 2, 2, 79.2, 50.0, 18.2, 4.8, 26.7, 7.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 6, 1, 5, 86.8, 83.3, 45.5, 2.4, 58.8, 4.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 4, 5, 7, 83.0, 58.3, 63.6, 11.9, 60.9, 20.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 7, 1, 4, 84.9, 80.0, 36.4, 2.4, 50.0, 4.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 11, 1, 0, 77.4, 0.0, 0.0, 2.4, 0.0, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 7, 4, 4, 79.2, 50.0, 36.4, 9.5, 42.1, 15.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 10, 3, 1, 75.5, 25.0, 9.1, 7.1, 13.3, 8.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 9, 0, 2, 83.0, 100.0, 18.2, 0.0, 30.8, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 7, 2, 4, 83.0, 66.7, 36.4, 4.8, 47.1, 8.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 10, 0, 1, 81.1, 100.0, 9.1, 0.0, 16.7, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 8, 3, 3, 79.2, 50.0, 27.3, 7.1, 35.3, 11.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 11, 0, 0, 79.2, 0.0, 0.0, 0.0, 0.0, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 5, 1, 6, 88.7, 85.7, 54.5, 2.4, 66.7, 4.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 7, 3, 4, 81.1, 57.1, 36.4, 7.1, 44.4, 11.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 4, 4, 7, 84.9, 63.6, 63.6, 9.5, 63.6, 16.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 10, 3, 1, 75.5, 25.0, 9.1, 7.1, 13.3, 8.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 8, 1, 3, 83.0, 75.0, 27.3, 2.4, 40.0, 4.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 6, 4, 5, 81.1, 55.6, 45.5, 9.5, 50.0, 15.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 5, 1, 6, 88.7, 85.7, 54.5, 2.4, 66.7, 4.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 3, 6, 8, 83.0, 57.1, 72.7, 14.3, 64.0, 23.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 8, 4, 3, 77.4, 42.9, 27.3, 9.5, 33.3, 14.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 8, 6, 3, 73.6, 33.3, 27.3, 14.3, 30.0, 18.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 8, 4, 3, 77.4, 42.9, 27.3, 9.5, 33.3, 14.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 5, 4, 6, 83.0, 60.0, 54.5, 9.5, 57.1, 16.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 4, 4, 7, 84.9, 63.6, 63.6, 9.5, 63.6, 16.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 10, 6, 1, 69.8, 14.3, 9.1, 14.3, 11.1, 11.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 4, 6, 7, 81.1, 53.8, 63.6, 14.3, 58.3, 23.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 5, 5, 6, 81.1, 54.5, 54.5, 11.9, 54.5, 19.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 9, 1, 2, 81.1, 66.7, 18.2, 2.4, 28.6, 4.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 5, 4, 6, 83.0, 60.0, 54.5, 9.5, 57.1, 16.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 3, 4, 8, 86.8, 66.7, 72.7, 9.5, 69.6, 16.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 11, 1, 0, 77.4, 0.0, 0.0, 2.4, 0.0, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 5, 3, 6, 84.9, 66.7, 54.5, 7.1, 60.0, 12.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 3, 2, 8, 90.6, 80.0, 72.7, 4.8, 76.2, 8.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 3, 3, 8, 88.7, 72.7, 72.7, 7.1, 72.7, 13.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 6, 3, 5, 83.0, 62.5, 45.5, 7.1, 52.6, 12.3
