prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 87, 5, 17, 3, 80.4, 15.0, 37.5, 16.3, 21.4, 22.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 96, 5, 8, 3, 88.4, 27.3, 37.5, 7.7, 31.6, 12.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 95, 5, 9, 3, 87.5, 25.0, 37.5, 8.7, 30.0, 14.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 92, 6, 12, 2, 83.9, 14.3, 25.0, 11.5, 18.2, 15.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 5, 10, 3, 86.6, 23.1, 37.5, 9.6, 28.6, 15.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 98, 5, 6, 3, 90.2, 33.3, 37.5, 5.8, 35.3, 10.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 96, 7, 8, 1, 86.6, 11.1, 12.5, 7.7, 11.8, 9.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 92, 5, 12, 3, 84.8, 20.0, 37.5, 11.5, 26.1, 17.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 95, 6, 9, 2, 86.6, 18.2, 25.0, 8.7, 21.1, 12.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 96, 5, 8, 3, 88.4, 27.3, 37.5, 7.7, 31.6, 12.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 87, 5, 17, 3, 80.4, 15.0, 37.5, 16.3, 21.4, 22.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 86, 6, 18, 2, 78.6, 10.0, 25.0, 17.3, 14.3, 20.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 5, 11, 3, 85.7, 21.4, 37.5, 10.6, 27.3, 16.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 5, 11, 3, 85.7, 21.4, 37.5, 10.6, 27.3, 16.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 2, 10, 6, 89.3, 37.5, 75.0, 9.6, 50.0, 17.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 100, 6, 4, 2, 91.1, 33.3, 25.0, 3.8, 28.6, 6.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 4, 10, 4, 87.5, 28.6, 50.0, 9.6, 36.4, 16.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 6, 10, 2, 85.7, 16.7, 25.0, 9.6, 20.0, 13.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 92, 5, 12, 3, 84.8, 20.0, 37.5, 11.5, 26.1, 17.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 6, 10, 2, 85.7, 16.7, 25.0, 9.6, 20.0, 13.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 6, 11, 2, 84.8, 15.4, 25.0, 10.6, 19.0, 14.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 4, 10, 4, 87.5, 28.6, 50.0, 9.6, 36.4, 16.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 92, 4, 12, 4, 85.7, 25.0, 50.0, 11.5, 33.3, 18.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 96, 5, 8, 3, 88.4, 27.3, 37.5, 7.7, 31.6, 12.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 95, 7, 9, 1, 85.7, 10.0, 12.5, 8.7, 11.1, 10.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 85, 4, 19, 4, 79.5, 17.4, 50.0, 18.3, 25.8, 26.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 96, 3, 8, 5, 90.2, 38.5, 62.5, 7.7, 47.6, 13.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 102, 4, 2, 4, 94.6, 66.7, 50.0, 1.9, 57.1, 3.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 98, 5, 6, 3, 90.2, 33.3, 37.5, 5.8, 35.3, 10.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 96, 6, 8, 2, 87.5, 20.0, 25.0, 7.7, 22.2, 11.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 96, 6, 8, 2, 87.5, 20.0, 25.0, 7.7, 22.2, 11.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 5, 10, 3, 86.6, 23.1, 37.5, 9.6, 28.6, 15.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 97, 5, 7, 3, 89.3, 30.0, 37.5, 6.7, 33.3, 11.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 95, 7, 9, 1, 85.7, 10.0, 12.5, 8.7, 11.1, 10.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 95, 6, 9, 2, 86.6, 18.2, 25.0, 8.7, 21.1, 12.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 101, 5, 3, 3, 92.9, 50.0, 37.5, 2.9, 42.9, 5.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 5, 10, 3, 86.6, 23.1, 37.5, 9.6, 28.6, 15.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 97, 6, 7, 2, 88.4, 22.2, 25.0, 6.7, 23.5, 10.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 91, 3, 13, 5, 85.7, 27.8, 62.5, 12.5, 38.5, 20.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 99, 6, 5, 2, 90.2, 28.6, 25.0, 4.8, 26.7, 8.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 97, 6, 7, 2, 88.4, 22.2, 25.0, 6.7, 23.5, 10.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 4, 11, 4, 86.6, 26.7, 50.0, 10.6, 34.8, 17.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 95, 5, 9, 3, 87.5, 25.0, 37.5, 8.7, 30.0, 14.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 92, 6, 12, 2, 83.9, 14.3, 25.0, 11.5, 18.2, 15.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 91, 4, 13, 4, 84.8, 23.5, 50.0, 12.5, 32.0, 20.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 4, 10, 4, 87.5, 28.6, 50.0, 9.6, 36.4, 16.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 96, 4, 8, 4, 89.3, 33.3, 50.0, 7.7, 40.0, 13.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 92, 5, 12, 3, 84.8, 20.0, 37.5, 11.5, 26.1, 17.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 3, 11, 5, 87.5, 31.3, 62.5, 10.6, 41.7, 18.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 5, 10, 3, 86.6, 23.1, 37.5, 9.6, 28.6, 15.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 100, 6, 4, 2, 91.1, 33.3, 25.0, 3.8, 28.6, 6.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 87, 5, 17, 3, 80.4, 15.0, 37.5, 16.3, 21.4, 22.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 96, 6, 8, 2, 87.5, 20.0, 25.0, 7.7, 22.2, 11.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 100, 7, 4, 1, 90.2, 20.0, 12.5, 3.8, 15.4, 5.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 97, 5, 7, 3, 89.3, 30.0, 37.5, 6.7, 33.3, 11.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 90, 4, 14, 4, 83.9, 22.2, 50.0, 13.5, 30.8, 21.2
