prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 71, 5, 33, 3, 66.1, 8.3, 37.5, 31.7, 13.6, 34.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 77, 4, 27, 4, 72.3, 12.9, 50.0, 26.0, 20.5, 34.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 2, 29, 6, 72.3, 17.1, 75.0, 27.9, 27.9, 40.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 74, 3, 30, 5, 70.5, 14.3, 62.5, 28.8, 23.3, 39.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 4, 25, 4, 74.1, 13.8, 50.0, 24.0, 21.6, 32.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 6, 31, 2, 67.0, 6.1, 25.0, 29.8, 9.8, 27.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 4, 25, 4, 74.1, 13.8, 50.0, 24.0, 21.6, 32.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 5, 25, 3, 73.2, 10.7, 37.5, 24.0, 16.7, 29.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 80, 1, 24, 7, 77.7, 22.6, 87.5, 23.1, 35.9, 36.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 70, 2, 34, 6, 67.9, 15.0, 75.0, 32.7, 25.0, 45.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 76, 4, 28, 4, 71.4, 12.5, 50.0, 26.9, 20.0, 35.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 80, 6, 24, 2, 73.2, 7.7, 25.0, 23.1, 11.8, 24.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 6, 26, 2, 71.4, 7.1, 25.0, 25.0, 11.1, 25.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 82, 4, 22, 4, 76.8, 15.4, 50.0, 21.2, 23.5, 29.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 83, 2, 21, 6, 79.5, 22.2, 75.0, 20.2, 34.3, 31.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 81, 3, 23, 5, 76.8, 17.9, 62.5, 22.1, 27.8, 32.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 4, 31, 4, 68.8, 11.4, 50.0, 29.8, 18.6, 37.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 2, 25, 6, 75.9, 19.4, 75.0, 24.0, 30.8, 36.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 77, 4, 27, 4, 72.3, 12.9, 50.0, 26.0, 20.5, 34.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 1, 26, 7, 75.9, 21.2, 87.5, 25.0, 34.1, 38.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 81, 6, 23, 2, 74.1, 8.0, 25.0, 22.1, 12.1, 23.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 1, 25, 7, 76.8, 21.9, 87.5, 24.0, 35.0, 37.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 77, 4, 27, 4, 72.3, 12.9, 50.0, 26.0, 20.5, 34.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 6, 26, 2, 71.4, 7.1, 25.0, 25.0, 11.1, 25.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 74, 6, 30, 2, 67.9, 6.3, 25.0, 28.8, 10.0, 26.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 3, 25, 5, 75.0, 16.7, 62.5, 24.0, 26.3, 34.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 82, 2, 22, 6, 78.6, 21.4, 75.0, 21.2, 33.3, 33.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 81, 3, 23, 5, 76.8, 17.9, 62.5, 22.1, 27.8, 32.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 74, 4, 30, 4, 69.6, 11.8, 50.0, 28.8, 19.0, 36.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 76, 5, 28, 3, 70.5, 9.7, 37.5, 26.9, 15.4, 31.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 80, 5, 24, 3, 74.1, 11.1, 37.5, 23.1, 17.1, 28.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 82, 5, 22, 3, 75.9, 12.0, 37.5, 21.2, 18.2, 27.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 83, 4, 21, 4, 77.7, 16.0, 50.0, 20.2, 24.2, 28.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 2, 26, 6, 75.0, 18.8, 75.0, 25.0, 30.0, 37.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 4, 29, 4, 70.5, 12.1, 50.0, 27.9, 19.5, 35.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 80, 2, 24, 6, 76.8, 20.0, 75.0, 23.1, 31.6, 35.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 80, 3, 24, 5, 75.9, 17.2, 62.5, 23.1, 27.0, 33.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 74, 5, 30, 3, 68.8, 9.1, 37.5, 28.8, 14.6, 32.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 3, 29, 5, 71.4, 14.7, 62.5, 27.9, 23.8, 38.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 4, 25, 4, 74.1, 13.8, 50.0, 24.0, 21.6, 32.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 1, 26, 7, 75.9, 21.2, 87.5, 25.0, 34.1, 38.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 76, 4, 28, 4, 71.4, 12.5, 50.0, 26.9, 20.0, 35.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 5, 31, 3, 67.9, 8.8, 37.5, 29.8, 14.3, 33.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 81, 3, 23, 5, 76.8, 17.9, 62.5, 22.1, 27.8, 32.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 80, 3, 24, 5, 75.9, 17.2, 62.5, 23.1, 27.0, 33.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 3, 26, 5, 74.1, 16.1, 62.5, 25.0, 25.6, 35.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 0, 25, 8, 77.7, 24.2, 100.0, 24.0, 39.0, 38.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 6, 25, 2, 72.3, 7.4, 25.0, 24.0, 11.4, 24.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 77, 3, 27, 5, 73.2, 15.6, 62.5, 26.0, 25.0, 36.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 3, 25, 5, 75.0, 16.7, 62.5, 24.0, 26.3, 34.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 2, 26, 6, 75.0, 18.8, 75.0, 25.0, 30.0, 37.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 76, 5, 28, 3, 70.5, 9.7, 37.5, 26.9, 15.4, 31.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 4, 26, 4, 73.2, 13.3, 50.0, 25.0, 21.1, 33.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 1, 26, 7, 75.9, 21.2, 87.5, 25.0, 34.1, 38.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 71, 4, 33, 4, 67.0, 10.8, 50.0, 31.7, 17.8, 38.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 72, 5, 32, 3, 67.0, 8.6, 37.5, 30.8, 14.0, 33.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 72, 4, 32, 4, 67.9, 11.1, 50.0, 30.8, 18.2, 38.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 5, 31, 3, 67.9, 8.8, 37.5, 29.8, 14.3, 33.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 81, 3, 23, 5, 76.8, 17.9, 62.5, 22.1, 27.8, 32.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 81, 5, 23, 3, 75.0, 11.5, 37.5, 22.1, 17.6, 27.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 74, 3, 30, 5, 70.5, 14.3, 62.5, 28.8, 23.3, 39.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 6, 26, 2, 71.4, 7.1, 25.0, 25.0, 11.1, 25.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 2, 26, 6, 75.0, 18.8, 75.0, 25.0, 30.0, 37.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 72, 1, 32, 7, 70.5, 17.9, 87.5, 30.8, 29.8, 45.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 83, 3, 21, 5, 78.6, 19.2, 62.5, 20.2, 29.4, 30.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 74, 5, 30, 3, 68.8, 9.1, 37.5, 28.8, 14.6, 32.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 80, 2, 24, 6, 76.8, 20.0, 75.0, 23.1, 31.6, 35.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 2, 26, 6, 75.0, 18.8, 75.0, 25.0, 30.0, 37.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 77, 3, 27, 5, 73.2, 15.6, 62.5, 26.0, 25.0, 36.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 80, 3, 24, 5, 75.9, 17.2, 62.5, 23.1, 27.0, 33.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 4, 31, 4, 68.8, 11.4, 50.0, 29.8, 18.6, 37.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 76, 4, 28, 4, 71.4, 12.5, 50.0, 26.9, 20.0, 35.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 74, 4, 30, 4, 69.6, 11.8, 50.0, 28.8, 19.0, 36.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 80, 2, 24, 6, 76.8, 20.0, 75.0, 23.1, 31.6, 35.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 4, 29, 4, 70.5, 12.1, 50.0, 27.9, 19.5, 35.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 3, 29, 5, 71.4, 14.7, 62.5, 27.9, 23.8, 38.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 5, 29, 3, 69.6, 9.4, 37.5, 27.9, 15.0, 32.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 80, 3, 24, 5, 75.9, 17.2, 62.5, 23.1, 27.0, 33.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 74, 6, 30, 2, 67.9, 6.3, 25.0, 28.8, 10.0, 26.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 76, 3, 28, 5, 72.3, 15.2, 62.5, 26.9, 24.4, 37.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 1, 26, 7, 75.9, 21.2, 87.5, 25.0, 34.1, 38.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 82, 5, 22, 3, 75.9, 12.0, 37.5, 21.2, 18.2, 27.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 5, 26, 3, 72.3, 10.3, 37.5, 25.0, 16.2, 30.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 2, 25, 6, 75.9, 19.4, 75.0, 24.0, 30.8, 36.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 80, 4, 24, 4, 75.0, 14.3, 50.0, 23.1, 22.2, 31.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 77, 4, 27, 4, 72.3, 12.9, 50.0, 26.0, 20.5, 34.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 74, 7, 30, 1, 67.0, 3.2, 12.5, 28.8, 5.1, 17.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 4, 26, 4, 73.2, 13.3, 50.0, 25.0, 21.1, 33.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 6, 25, 2, 72.3, 7.4, 25.0, 24.0, 11.4, 24.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 82, 0, 22, 8, 80.4, 26.7, 100.0, 21.2, 42.1, 34.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 77, 1, 27, 7, 75.0, 20.6, 87.5, 26.0, 33.3, 40.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 2, 31, 6, 70.5, 16.2, 75.0, 29.8, 26.7, 42.7
