prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 3, 13, 2, 68.0, 13.3, 40.0, 28.9, 20.0, 33.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 1, 14, 4, 70.0, 22.2, 80.0, 31.1, 34.8, 44.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 4, 17, 1, 58.0, 5.6, 20.0, 37.8, 8.7, 26.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 3, 16, 2, 62.0, 11.1, 40.0, 35.6, 17.4, 37.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 2, 14, 3, 68.0, 17.6, 60.0, 31.1, 27.3, 41.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 1, 19, 4, 60.0, 17.4, 80.0, 42.2, 28.6, 55.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 2, 15, 3, 66.0, 16.7, 60.0, 33.3, 26.1, 42.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 3, 13, 2, 68.0, 13.3, 40.0, 28.9, 20.0, 33.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 2, 11, 3, 74.0, 21.4, 60.0, 24.4, 31.6, 34.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 12, 3, 72.0, 20.0, 60.0, 26.7, 30.0, 36.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 3, 14, 2, 66.0, 12.5, 40.0, 31.1, 19.0, 35.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 2, 17, 3, 62.0, 15.0, 60.0, 37.8, 24.0, 46.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 0, 16, 5, 68.0, 23.8, 100.0, 35.6, 38.5, 52.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 3, 15, 2, 64.0, 11.8, 40.0, 33.3, 18.2, 36.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 2, 14, 3, 68.0, 17.6, 60.0, 31.1, 27.3, 41.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 2, 16, 3, 64.0, 15.8, 60.0, 35.6, 25.0, 44.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 2, 19, 3, 58.0, 13.6, 60.0, 42.2, 22.2, 49.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 21, 3, 24, 2, 46.0, 7.7, 40.0, 53.3, 12.9, 45.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 12, 3, 72.0, 20.0, 60.0, 26.7, 30.0, 36.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 3, 16, 2, 62.0, 11.1, 40.0, 35.6, 17.4, 37.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 17, 4, 28, 1, 36.0, 3.4, 20.0, 62.2, 5.9, 30.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 3, 18, 2, 58.0, 10.0, 40.0, 40.0, 16.0, 40.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 2, 11, 3, 74.0, 21.4, 60.0, 24.4, 31.6, 34.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 3, 10, 2, 74.0, 16.7, 40.0, 22.2, 23.5, 28.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 5, 14, 0, 62.0, 0.0, 0.0, 31.1, 0.0, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 2, 19, 3, 58.0, 13.6, 60.0, 42.2, 22.2, 49.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 1, 17, 4, 64.0, 19.0, 80.0, 37.8, 30.8, 51.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 24, 3, 21, 2, 52.0, 8.7, 40.0, 46.7, 14.3, 43.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 2, 17, 3, 62.0, 15.0, 60.0, 37.8, 24.0, 46.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 4, 12, 1, 68.0, 7.7, 20.0, 26.7, 11.1, 22.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 12, 3, 72.0, 20.0, 60.0, 26.7, 30.0, 36.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 3, 11, 2, 72.0, 15.4, 40.0, 24.4, 22.2, 30.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 3, 18, 2, 58.0, 10.0, 40.0, 40.0, 16.0, 40.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 3, 15, 2, 64.0, 11.8, 40.0, 33.3, 18.2, 36.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 13, 3, 70.0, 18.8, 60.0, 28.9, 28.6, 39.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 5, 18, 0, 54.0, 0.0, 0.0, 40.0, 0.0, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 4, 16, 1, 60.0, 5.9, 20.0, 35.6, 9.1, 25.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 2, 16, 3, 64.0, 15.8, 60.0, 35.6, 25.0, 44.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 3, 16, 2, 62.0, 11.1, 40.0, 35.6, 17.4, 37.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 3, 16, 2, 62.0, 11.1, 40.0, 35.6, 17.4, 37.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 1, 18, 4, 62.0, 18.2, 80.0, 40.0, 29.6, 53.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 2, 11, 3, 74.0, 21.4, 60.0, 24.4, 31.6, 34.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 18, 4, 27, 1, 38.0, 3.6, 20.0, 60.0, 6.1, 30.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 12, 3, 72.0, 20.0, 60.0, 26.7, 30.0, 36.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 1, 15, 4, 68.0, 21.1, 80.0, 33.3, 33.3, 47.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 3, 19, 2, 56.0, 9.5, 40.0, 42.2, 15.4, 41.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 5, 15, 0, 60.0, 0.0, 0.0, 33.3, 0.0, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 2, 10, 3, 76.0, 23.1, 60.0, 22.2, 33.3, 32.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 5, 16, 0, 58.0, 0.0, 0.0, 35.6, 0.0, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 0, 18, 5, 64.0, 21.7, 100.0, 40.0, 35.7, 57.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 4, 12, 1, 68.0, 7.7, 20.0, 26.7, 11.1, 22.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 4, 17, 1, 58.0, 5.6, 20.0, 37.8, 8.7, 26.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 3, 14, 2, 66.0, 12.5, 40.0, 31.1, 19.0, 35.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 3, 16, 2, 62.0, 11.1, 40.0, 35.6, 17.4, 37.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 3, 15, 2, 64.0, 11.8, 40.0, 33.3, 18.2, 36.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 4, 15, 1, 62.0, 6.3, 20.0, 33.3, 9.5, 25.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 3, 15, 2, 64.0, 11.8, 40.0, 33.3, 18.2, 36.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 2, 15, 3, 66.0, 16.7, 60.0, 33.3, 26.1, 42.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 2, 14, 3, 68.0, 17.6, 60.0, 31.1, 27.3, 41.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 12, 3, 72.0, 20.0, 60.0, 26.7, 30.0, 36.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 5, 15, 0, 60.0, 0.0, 0.0, 33.3, 0.0, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 3, 15, 2, 64.0, 11.8, 40.0, 33.3, 18.2, 36.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 13, 3, 70.0, 18.8, 60.0, 28.9, 28.6, 39.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 3, 13, 2, 68.0, 13.3, 40.0, 28.9, 20.0, 33.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 26, 4, 19, 1, 54.0, 5.0, 20.0, 42.2, 8.0, 27.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 24, 4, 21, 1, 50.0, 4.5, 20.0, 46.7, 7.4, 28.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 3, 16, 2, 62.0, 11.1, 40.0, 35.6, 17.4, 37.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 3, 12, 2, 70.0, 14.3, 40.0, 26.7, 21.1, 32.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 2, 16, 3, 64.0, 15.8, 60.0, 35.6, 25.0, 44.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 12, 3, 72.0, 20.0, 60.0, 26.7, 30.0, 36.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 2, 16, 3, 64.0, 15.8, 60.0, 35.6, 25.0, 44.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 24, 3, 21, 2, 52.0, 8.7, 40.0, 46.7, 14.3, 43.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 4, 10, 1, 72.0, 9.1, 20.0, 22.2, 12.5, 21.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 4, 11, 1, 70.0, 8.3, 20.0, 24.4, 11.8, 22.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 2, 17, 3, 62.0, 15.0, 60.0, 37.8, 24.0, 46.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 2, 17, 3, 62.0, 15.0, 60.0, 37.8, 24.0, 46.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 12, 4, 74.0, 25.0, 80.0, 26.7, 38.1, 40.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 12, 3, 72.0, 20.0, 60.0, 26.7, 30.0, 36.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 3, 14, 2, 66.0, 12.5, 40.0, 31.1, 19.0, 35.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 3, 16, 2, 62.0, 11.1, 40.0, 35.6, 17.4, 37.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 2, 17, 3, 62.0, 15.0, 60.0, 37.8, 24.0, 46.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 1, 8, 4, 82.0, 33.3, 80.0, 17.8, 47.1, 29.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 4, 15, 1, 62.0, 6.3, 20.0, 33.3, 9.5, 25.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 3, 17, 2, 60.0, 10.5, 40.0, 37.8, 16.7, 38.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 2, 16, 3, 64.0, 15.8, 60.0, 35.6, 25.0, 44.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 2, 14, 3, 68.0, 17.6, 60.0, 31.1, 27.3, 41.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 12, 3, 72.0, 20.0, 60.0, 26.7, 30.0, 36.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 2, 15, 3, 66.0, 16.7, 60.0, 33.3, 26.1, 42.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 28, 2, 17, 3, 62.0, 15.0, 60.0, 37.8, 24.0, 46.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 1, 18, 4, 62.0, 18.2, 80.0, 40.0, 29.6, 53.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 3, 18, 2, 58.0, 10.0, 40.0, 40.0, 16.0, 40.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 3, 15, 2, 64.0, 11.8, 40.0, 33.3, 18.2, 36.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 12, 3, 72.0, 20.0, 60.0, 26.7, 30.0, 36.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 27, 3, 18, 2, 58.0, 10.0, 40.0, 40.0, 16.0, 40.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 3, 8, 2, 78.0, 20.0, 40.0, 17.8, 26.7, 24.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 22, 1, 23, 4, 52.0, 14.8, 80.0, 51.1, 25.0, 62.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 13, 3, 70.0, 18.8, 60.0, 28.9, 28.6, 39.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 12, 4, 74.0, 25.0, 80.0, 26.7, 38.1, 40.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 4, 13, 1, 66.0, 7.1, 20.0, 28.9, 10.5, 23.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 12, 4, 74.0, 25.0, 80.0, 26.7, 38.1, 40.0
