prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 70, 4, 34, 4, 66.1, 10.5, 50.0, 32.7, 17.4, 39.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 6, 29, 2, 68.8, 6.5, 25.0, 27.9, 10.3, 26.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 71, 4, 33, 4, 67.0, 10.8, 50.0, 31.7, 17.8, 38.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 2, 29, 6, 72.3, 17.1, 75.0, 27.9, 27.9, 40.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 75, 2, 29, 6, 72.3, 17.1, 75.0, 27.9, 27.9, 40.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 3, 31, 5, 69.6, 13.9, 62.5, 29.8, 22.7, 40.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 74, 5, 30, 3, 68.8, 9.1, 37.5, 28.8, 14.6, 32.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 4, 31, 4, 68.8, 11.4, 50.0, 29.8, 18.6, 37.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 68, 4, 36, 4, 64.3, 10.0, 50.0, 34.6, 16.7, 40.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 72, 5, 32, 3, 67.0, 8.6, 37.5, 30.8, 14.0, 33.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 70, 0, 34, 8, 69.6, 19.0, 100.0, 32.7, 32.0, 49.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 70, 4, 34, 4, 66.1, 10.5, 50.0, 32.7, 17.4, 39.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 73, 4, 31, 4, 68.8, 11.4, 50.0, 29.8, 18.6, 37.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 74, 4, 30, 4, 69.6, 11.8, 50.0, 28.8, 19.0, 36.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 72, 5, 32, 3, 67.0, 8.6, 37.5, 30.8, 14.0, 33.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 70, 5, 34, 3, 65.2, 8.1, 37.5, 32.7, 13.3, 34.9
