prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 166, 20, 13, 13, 84.4, 50.0, 39.4, 7.3, 44.1, 12.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 167, 22, 12, 11, 84.0, 47.8, 33.3, 6.7, 39.3, 11.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 162, 26, 17, 7, 79.7, 29.2, 21.2, 9.5, 24.6, 13.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 164, 21, 15, 12, 83.0, 44.4, 36.4, 8.4, 40.0, 13.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 163, 23, 16, 10, 81.6, 38.5, 30.3, 8.9, 33.9, 13.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 165, 23, 14, 10, 82.5, 41.7, 30.3, 7.8, 35.1, 12.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 166, 23, 13, 10, 83.0, 43.5, 30.3, 7.3, 35.7, 11.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 170, 20, 9, 13, 86.3, 59.1, 39.4, 5.0, 47.3, 8.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 163, 25, 16, 8, 80.7, 33.3, 24.2, 8.9, 28.1, 13.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 166, 23, 13, 10, 83.0, 43.5, 30.3, 7.3, 35.7, 11.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 164, 21, 15, 12, 83.0, 44.4, 36.4, 8.4, 40.0, 13.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 163, 24, 16, 9, 81.1, 36.0, 27.3, 8.9, 31.0, 13.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 168, 23, 11, 10, 84.0, 47.6, 30.3, 6.1, 37.0, 10.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 170, 18, 9, 15, 87.3, 62.5, 45.5, 5.0, 52.6, 9.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 169, 21, 10, 12, 85.4, 54.5, 36.4, 5.6, 43.6, 9.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 166, 23, 13, 10, 83.0, 43.5, 30.3, 7.3, 35.7, 11.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 160, 25, 19, 8, 79.2, 29.6, 24.2, 10.6, 26.7, 14.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 161, 27, 18, 6, 78.8, 25.0, 18.2, 10.1, 21.1, 12.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 166, 22, 13, 11, 83.5, 45.8, 33.3, 7.3, 38.6, 11.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 166, 22, 13, 11, 83.5, 45.8, 33.3, 7.3, 38.6, 11.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 165, 24, 14, 9, 82.1, 39.1, 27.3, 7.8, 32.1, 12.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 166, 25, 13, 8, 82.1, 38.1, 24.2, 7.3, 29.6, 11.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 165, 24, 14, 9, 82.1, 39.1, 27.3, 7.8, 32.1, 12.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 168, 22, 11, 11, 84.4, 50.0, 33.3, 6.1, 40.0, 10.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 164, 19, 15, 14, 84.0, 48.3, 42.4, 8.4, 45.2, 14.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 165, 23, 14, 10, 82.5, 41.7, 30.3, 7.8, 35.1, 12.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 164, 24, 15, 9, 81.6, 37.5, 27.3, 8.4, 31.6, 12.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 167, 20, 12, 13, 84.9, 52.0, 39.4, 6.7, 44.8, 11.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 166, 21, 13, 12, 84.0, 48.0, 36.4, 7.3, 41.4, 12.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 162, 22, 17, 11, 81.6, 39.3, 33.3, 9.5, 36.1, 14.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 165, 23, 14, 10, 82.5, 41.7, 30.3, 7.8, 35.1, 12.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 163, 24, 16, 9, 81.1, 36.0, 27.3, 8.9, 31.0, 13.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 168, 18, 11, 15, 86.3, 57.7, 45.5, 6.1, 50.8, 10.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 166, 21, 13, 12, 84.0, 48.0, 36.4, 7.3, 41.4, 12.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 165, 24, 14, 9, 82.1, 39.1, 27.3, 7.8, 32.1, 12.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 168, 24, 11, 9, 83.5, 45.0, 27.3, 6.1, 34.0, 10.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 166, 21, 13, 12, 84.0, 48.0, 36.4, 7.3, 41.4, 12.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 165, 23, 14, 10, 82.5, 41.7, 30.3, 7.8, 35.1, 12.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 166, 24, 13, 9, 82.5, 40.9, 27.3, 7.3, 32.7, 11.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 163, 23, 16, 10, 81.6, 38.5, 30.3, 8.9, 33.9, 13.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 169, 19, 10, 14, 86.3, 58.3, 42.4, 5.6, 49.1, 9.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 165, 19, 14, 14, 84.4, 50.0, 42.4, 7.8, 45.9, 13.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 164, 22, 15, 11, 82.5, 42.3, 33.3, 8.4, 37.3, 13.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 168, 21, 11, 12, 84.9, 52.2, 36.4, 6.1, 42.9, 10.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 164, 22, 15, 11, 82.5, 42.3, 33.3, 8.4, 37.3, 13.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 167, 22, 12, 11, 84.0, 47.8, 33.3, 6.7, 39.3, 11.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 162, 22, 17, 11, 81.6, 39.3, 33.3, 9.5, 36.1, 14.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 160, 24, 19, 9, 79.7, 32.1, 27.3, 10.6, 29.5, 15.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 162, 26, 17, 7, 79.7, 29.2, 21.2, 9.5, 24.6, 13.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 163, 23, 16, 10, 81.6, 38.5, 30.3, 8.9, 33.9, 13.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 166, 25, 13, 8, 82.1, 38.1, 24.2, 7.3, 29.6, 11.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 168, 18, 11, 15, 86.3, 57.7, 45.5, 6.1, 50.8, 10.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 159, 23, 20, 10, 79.7, 33.3, 30.3, 11.2, 31.7, 16.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 161, 24, 18, 9, 80.2, 33.3, 27.3, 10.1, 30.0, 14.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 163, 22, 16, 11, 82.1, 40.7, 33.3, 8.9, 36.7, 14.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 163, 23, 16, 10, 81.6, 38.5, 30.3, 8.9, 33.9, 13.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 162, 21, 17, 12, 82.1, 41.4, 36.4, 9.5, 38.7, 15.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 163, 23, 16, 10, 81.6, 38.5, 30.3, 8.9, 33.9, 13.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 163, 24, 16, 9, 81.1, 36.0, 27.3, 8.9, 31.0, 13.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 167, 20, 12, 13, 84.9, 52.0, 39.4, 6.7, 44.8, 11.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 170, 19, 9, 14, 86.8, 60.9, 42.4, 5.0, 50.0, 9.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 163, 27, 16, 6, 79.7, 27.3, 18.2, 8.9, 21.8, 12.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 165, 26, 14, 7, 81.1, 33.3, 21.2, 7.8, 25.9, 11.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 163, 27, 16, 6, 79.7, 27.3, 18.2, 8.9, 21.8, 12.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 167, 20, 12, 13, 84.9, 52.0, 39.4, 6.7, 44.8, 11.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 164, 24, 15, 9, 81.6, 37.5, 27.3, 8.4, 31.6, 12.8
