prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 143, 15, 36, 18, 75.9, 33.3, 54.5, 20.1, 41.4, 29.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 136, 15, 43, 18, 72.6, 29.5, 54.5, 24.0, 38.3, 33.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 144, 12, 35, 21, 77.8, 37.5, 63.6, 19.6, 47.2, 29.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 137, 17, 42, 16, 72.2, 27.6, 48.5, 23.5, 35.2, 31.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 137, 15, 42, 18, 73.1, 30.0, 54.5, 23.5, 38.7, 32.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 141, 15, 38, 18, 75.0, 32.1, 54.5, 21.2, 40.4, 30.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 140, 15, 39, 18, 74.5, 31.6, 54.5, 21.8, 40.0, 31.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 150, 13, 29, 20, 80.2, 40.8, 60.6, 16.2, 48.8, 25.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 148, 14, 31, 19, 78.8, 38.0, 57.6, 17.3, 45.8, 26.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 150, 13, 29, 20, 80.2, 40.8, 60.6, 16.2, 48.8, 25.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 141, 17, 38, 16, 74.1, 29.6, 48.5, 21.2, 36.8, 29.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 142, 14, 37, 19, 75.9, 33.9, 57.6, 20.7, 42.7, 30.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 140, 12, 39, 21, 75.9, 35.0, 63.6, 21.8, 45.2, 32.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 143, 16, 36, 17, 75.5, 32.1, 51.5, 20.1, 39.5, 28.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 145, 13, 34, 20, 77.8, 37.0, 60.6, 19.0, 46.0, 28.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 146, 14, 33, 19, 77.8, 36.5, 57.6, 18.4, 44.7, 27.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 151, 19, 28, 14, 77.8, 33.3, 42.4, 15.6, 37.3, 22.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 137, 17, 42, 16, 72.2, 27.6, 48.5, 23.5, 35.2, 31.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 141, 16, 38, 17, 74.5, 30.9, 51.5, 21.2, 38.6, 30.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 143, 10, 36, 23, 78.3, 39.0, 69.7, 20.1, 50.0, 31.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 148, 14, 31, 19, 78.8, 38.0, 57.6, 17.3, 45.8, 26.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 149, 16, 30, 17, 78.3, 36.2, 51.5, 16.8, 42.5, 25.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 143, 17, 36, 16, 75.0, 30.8, 48.5, 20.1, 37.6, 28.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 156, 14, 23, 19, 82.5, 45.2, 57.6, 12.8, 50.7, 21.0
