prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 161, 21, 18, 12, 81.6, 40.0, 36.4, 10.1, 38.1, 15.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 139, 20, 40, 13, 71.7, 24.5, 39.4, 22.3, 30.2, 28.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 147, 21, 32, 12, 75.0, 27.3, 36.4, 17.9, 31.2, 24.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 167, 13, 12, 20, 88.2, 62.5, 60.6, 6.7, 61.5, 12.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 156, 21, 23, 12, 79.2, 34.3, 36.4, 12.8, 35.3, 19.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 149, 15, 30, 18, 78.8, 37.5, 54.5, 16.8, 44.4, 25.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 149, 23, 30, 10, 75.0, 25.0, 30.3, 16.8, 27.4, 21.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 155, 15, 24, 18, 81.6, 42.9, 54.5, 13.4, 48.0, 21.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 159, 21, 20, 12, 80.7, 37.5, 36.4, 11.2, 36.9, 17.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 148, 17, 31, 16, 77.4, 34.0, 48.5, 17.3, 40.0, 25.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 121, 18, 58, 15, 64.2, 20.5, 45.5, 32.4, 28.3, 37.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 110, 17, 69, 16, 59.4, 18.8, 48.5, 38.5, 27.1, 42.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 154, 21, 25, 12, 78.3, 32.4, 36.4, 14.0, 34.3, 20.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 165, 18, 14, 15, 84.9, 51.7, 45.5, 7.8, 48.4, 13.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 157, 25, 22, 8, 77.8, 26.7, 24.2, 12.3, 25.4, 16.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 145, 13, 34, 20, 77.8, 37.0, 60.6, 19.0, 46.0, 28.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 156, 17, 23, 16, 81.1, 41.0, 48.5, 12.8, 44.4, 20.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 17, 85, 16, 51.9, 15.8, 48.5, 47.5, 23.9, 48.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 161, 23, 18, 10, 80.7, 35.7, 30.3, 10.1, 32.8, 15.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 155, 20, 24, 13, 79.2, 35.1, 39.4, 13.4, 37.1, 20.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 157, 20, 22, 13, 80.2, 37.1, 39.4, 12.3, 38.2, 18.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 154, 20, 25, 13, 78.8, 34.2, 39.4, 14.0, 36.6, 20.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 164, 16, 15, 17, 85.4, 53.1, 51.5, 8.4, 52.3, 14.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 150, 15, 29, 18, 79.2, 38.3, 54.5, 16.2, 45.0, 25.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 160, 20, 19, 13, 81.6, 40.6, 39.4, 10.6, 40.0, 16.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 158, 18, 21, 15, 81.6, 41.7, 45.5, 11.7, 43.5, 18.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 159, 19, 20, 14, 81.6, 41.2, 42.4, 11.2, 41.8, 17.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 160, 21, 19, 12, 81.1, 38.7, 36.4, 10.6, 37.5, 16.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 161, 20, 18, 13, 82.1, 41.9, 39.4, 10.1, 40.6, 16.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 108, 14, 71, 19, 59.9, 21.1, 57.6, 39.7, 30.9, 47.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 106, 20, 73, 13, 56.1, 15.1, 39.4, 40.8, 21.8, 40.1
