prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 155, 14, 24, 19, 82.1, 44.2, 57.6, 13.4, 50.0, 21.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 157, 17, 22, 16, 81.6, 42.1, 48.5, 12.3, 45.1, 19.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 155, 19, 24, 14, 79.7, 36.8, 42.4, 13.4, 39.4, 20.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 160, 12, 19, 21, 85.4, 52.5, 63.6, 10.6, 57.5, 18.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 150, 17, 29, 16, 78.3, 35.6, 48.5, 16.2, 41.0, 24.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 154, 17, 25, 16, 80.2, 39.0, 48.5, 14.0, 43.2, 21.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 153, 18, 26, 15, 79.2, 36.6, 45.5, 14.5, 40.5, 22.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 159, 13, 20, 20, 84.4, 50.0, 60.6, 11.2, 54.8, 18.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 155, 19, 24, 14, 79.7, 36.8, 42.4, 13.4, 39.4, 20.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 156, 16, 23, 17, 81.6, 42.5, 51.5, 12.8, 46.6, 20.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 161, 18, 18, 15, 83.0, 45.5, 45.5, 10.1, 45.5, 16.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 156, 21, 23, 12, 79.2, 34.3, 36.4, 12.8, 35.3, 19.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 159, 17, 20, 16, 82.5, 44.4, 48.5, 11.2, 46.4, 18.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 154, 17, 25, 16, 80.2, 39.0, 48.5, 14.0, 43.2, 21.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 153, 20, 26, 13, 78.3, 33.3, 39.4, 14.5, 36.1, 21.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 159, 16, 20, 17, 83.0, 45.9, 51.5, 11.2, 48.6, 18.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 166, 17, 13, 16, 85.8, 55.2, 48.5, 7.3, 51.6, 12.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 157, 15, 22, 18, 82.5, 45.0, 54.5, 12.3, 49.3, 20.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 161, 16, 18, 17, 84.0, 48.6, 51.5, 10.1, 50.0, 16.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 156, 15, 23, 18, 82.1, 43.9, 54.5, 12.8, 48.6, 20.8
