prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 79, 4, 25, 4, 74.1, 13.8, 50.0, 24.0, 21.6, 32.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 81, 5, 23, 3, 75.0, 11.5, 37.5, 22.1, 17.6, 27.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 86, 3, 18, 5, 81.3, 21.7, 62.5, 17.3, 32.3, 27.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 78, 5, 26, 3, 72.3, 10.3, 37.5, 25.0, 16.2, 30.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 88, 3, 16, 5, 83.0, 23.8, 62.5, 15.4, 34.5, 24.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 82, 3, 22, 5, 77.7, 18.5, 62.5, 21.2, 28.6, 31.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 77, 4, 27, 4, 72.3, 12.9, 50.0, 26.0, 20.5, 34.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 84, 3, 20, 5, 79.5, 20.0, 62.5, 19.2, 30.3, 29.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 84, 4, 20, 4, 78.6, 16.7, 50.0, 19.2, 25.0, 27.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 80, 5, 24, 3, 74.1, 11.1, 37.5, 23.1, 17.1, 28.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 82, 3, 22, 5, 77.7, 18.5, 62.5, 21.2, 28.6, 31.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 82, 6, 22, 2, 75.0, 8.3, 25.0, 21.2, 12.5, 22.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 77, 4, 27, 4, 72.3, 12.9, 50.0, 26.0, 20.5, 34.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 81, 5, 23, 3, 75.0, 11.5, 37.5, 22.1, 17.6, 27.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 80, 4, 24, 4, 75.0, 14.3, 50.0, 23.1, 22.2, 31.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 84, 5, 20, 3, 77.7, 13.0, 37.5, 19.2, 19.4, 25.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 82, 4, 22, 4, 76.8, 15.4, 50.0, 21.2, 23.5, 29.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 83, 5, 21, 3, 76.8, 12.5, 37.5, 20.2, 18.8, 26.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 82, 5, 22, 3, 75.9, 12.0, 37.5, 21.2, 18.2, 27.0
