prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 127, 14, 52, 19, 68.9, 26.8, 57.6, 29.1, 36.5, 38.6
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 133, 11, 46, 22, 73.1, 32.4, 66.7, 25.7, 43.6, 37.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 128, 15, 51, 18, 68.9, 26.1, 54.5, 28.5, 35.3, 37.4
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 134, 8, 45, 25, 75.0, 35.7, 75.8, 25.1, 48.5, 37.8
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 135, 11, 44, 22, 74.1, 33.3, 66.7, 24.6, 44.4, 35.9
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 136, 11, 43, 22, 74.5, 33.8, 66.7, 24.0, 44.9, 35.3
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 129, 10, 50, 23, 71.7, 31.5, 69.7, 27.9, 43.4, 39.9
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 131, 14, 48, 19, 70.8, 28.4, 57.6, 26.8, 38.0, 36.6
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 128, 11, 51, 22, 70.8, 30.1, 66.7, 28.5, 41.5, 39.9
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 135, 7, 44, 26, 75.9, 37.1, 78.8, 24.6, 50.5, 37.5
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 133, 6, 46, 27, 75.5, 37.0, 81.8, 25.7, 50.9, 39.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 122, 11, 57, 22, 67.9, 27.8, 66.7, 31.8, 39.3, 43.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 131, 9, 48, 24, 73.1, 33.3, 72.7, 26.8, 45.7, 39.2
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 130, 10, 49, 23, 72.2, 31.9, 69.7, 27.4, 43.8, 39.3
