prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 153, 15, 26, 18, 80.7, 40.9, 54.5, 14.5, 46.8, 22.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 140, 19, 39, 14, 72.6, 26.4, 42.4, 21.8, 32.6, 28.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 145, 17, 34, 16, 75.9, 32.0, 48.5, 19.0, 38.6, 27.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 152, 21, 27, 12, 77.4, 30.8, 36.4, 15.1, 33.3, 21.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 150, 20, 29, 13, 76.9, 31.0, 39.4, 16.2, 34.7, 23.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 131, 17, 48, 16, 69.3, 25.0, 48.5, 26.8, 33.0, 34.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 148, 19, 31, 14, 76.4, 31.1, 42.4, 17.3, 35.9, 24.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 155, 19, 24, 14, 79.7, 36.8, 42.4, 13.4, 39.4, 20.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 144, 19, 35, 14, 74.5, 28.6, 42.4, 19.6, 34.1, 26.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 115, 14, 64, 19, 63.2, 22.9, 57.6, 35.8, 32.8, 44.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 131, 14, 48, 19, 70.8, 28.4, 57.6, 26.8, 38.0, 36.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 129, 14, 50, 19, 69.8, 27.5, 57.6, 27.9, 37.3, 37.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 158, 16, 21, 17, 82.5, 44.7, 51.5, 11.7, 47.9, 19.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 160, 16, 19, 17, 83.5, 47.2, 51.5, 10.6, 49.3, 17.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 151, 21, 28, 12, 76.9, 30.0, 36.4, 15.6, 32.9, 21.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 155, 15, 24, 18, 81.6, 42.9, 54.5, 13.4, 48.0, 21.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 152, 21, 27, 12, 77.4, 30.8, 36.4, 15.1, 33.3, 21.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 148, 15, 31, 18, 78.3, 36.7, 54.5, 17.3, 43.9, 26.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 155, 15, 24, 18, 81.6, 42.9, 54.5, 13.4, 48.0, 21.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 134, 14, 45, 19, 72.2, 29.7, 57.6, 25.1, 39.2, 35.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 134, 13, 45, 20, 72.6, 30.8, 60.6, 25.1, 40.8, 35.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 156, 22, 23, 11, 78.8, 32.4, 33.3, 12.8, 32.8, 18.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 135, 17, 44, 16, 71.2, 26.7, 48.5, 24.6, 34.4, 32.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 134, 13, 45, 20, 72.6, 30.8, 60.6, 25.1, 40.8, 35.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 155, 16, 24, 17, 81.1, 41.5, 51.5, 13.4, 45.9, 21.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 161, 17, 18, 16, 83.5, 47.1, 48.5, 10.1, 47.8, 16.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 144, 19, 35, 14, 74.5, 28.6, 42.4, 19.6, 34.1, 26.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 150, 12, 29, 21, 80.7, 42.0, 63.6, 16.2, 50.6, 25.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 123, 14, 56, 19, 67.0, 25.3, 57.6, 31.3, 35.2, 40.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 158, 15, 21, 18, 83.0, 46.2, 54.5, 11.7, 50.0, 19.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 152, 14, 27, 19, 80.7, 41.3, 57.6, 15.1, 48.1, 23.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 152, 21, 27, 12, 77.4, 30.8, 36.4, 15.1, 33.3, 21.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 145, 20, 34, 13, 74.5, 27.7, 39.4, 19.0, 32.5, 25.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 156, 14, 23, 19, 82.5, 45.2, 57.6, 12.8, 50.7, 21.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 160, 20, 19, 13, 81.6, 40.6, 39.4, 10.6, 40.0, 16.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 137, 19, 42, 14, 71.2, 25.0, 42.4, 23.5, 31.5, 30.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 144, 18, 35, 15, 75.0, 30.0, 45.5, 19.6, 36.1, 27.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 149, 12, 30, 21, 80.2, 41.2, 63.6, 16.8, 50.0, 26.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 141, 19, 38, 14, 73.1, 26.9, 42.4, 21.2, 32.9, 28.3
