prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 151, 13, 28, 20, 80.7, 41.7, 60.6, 15.6, 49.4, 24.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 147, 15, 32, 18, 77.8, 36.0, 54.5, 17.9, 43.4, 26.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 147, 17, 32, 16, 76.9, 33.3, 48.5, 17.9, 39.5, 26.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 147, 12, 32, 21, 79.2, 39.6, 63.6, 17.9, 48.8, 27.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 156, 11, 23, 22, 84.0, 48.9, 66.7, 12.8, 56.4, 21.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 148, 13, 31, 20, 79.2, 39.2, 60.6, 17.3, 47.6, 26.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 145, 17, 34, 16, 75.9, 32.0, 48.5, 19.0, 38.6, 27.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 145, 12, 34, 21, 78.3, 38.2, 63.6, 19.0, 47.7, 29.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 151, 12, 28, 21, 81.1, 42.9, 63.6, 15.6, 51.2, 25.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 153, 15, 26, 18, 80.7, 40.9, 54.5, 14.5, 46.8, 22.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 155, 13, 24, 20, 82.5, 45.5, 60.6, 13.4, 51.9, 22.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 141, 15, 38, 18, 75.0, 32.1, 54.5, 21.2, 40.4, 30.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 149, 16, 30, 17, 78.3, 36.2, 51.5, 16.8, 42.5, 25.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 146, 19, 33, 14, 75.5, 29.8, 42.4, 18.4, 35.0, 25.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 149, 12, 30, 21, 80.2, 41.2, 63.6, 16.8, 50.0, 26.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 147, 13, 32, 20, 78.8, 38.5, 60.6, 17.9, 47.1, 27.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 153, 14, 26, 19, 81.1, 42.2, 57.6, 14.5, 48.7, 23.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 149, 13, 30, 20, 79.7, 40.0, 60.6, 16.8, 48.2, 26.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 152, 15, 27, 18, 80.2, 40.0, 54.5, 15.1, 46.2, 23.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 149, 17, 30, 16, 77.8, 34.8, 48.5, 16.8, 40.5, 24.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 143, 16, 36, 17, 75.5, 32.1, 51.5, 20.1, 39.5, 28.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 149, 18, 30, 15, 77.4, 33.3, 45.5, 16.8, 38.5, 24.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 154, 16, 25, 17, 80.7, 40.5, 51.5, 14.0, 45.3, 22.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 151, 15, 28, 18, 79.7, 39.1, 54.5, 15.6, 45.6, 24.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 149, 13, 30, 20, 79.7, 40.0, 60.6, 16.8, 48.2, 26.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 152, 18, 27, 15, 78.8, 35.7, 45.5, 15.1, 40.0, 22.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 143, 15, 36, 18, 75.9, 33.3, 54.5, 20.1, 41.4, 29.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 144, 13, 35, 20, 77.4, 36.4, 60.6, 19.6, 45.5, 29.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 152, 11, 27, 22, 82.1, 44.9, 66.7, 15.1, 53.7, 24.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 145, 18, 34, 15, 75.5, 30.6, 45.5, 19.0, 36.6, 26.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 147, 16, 32, 17, 77.4, 34.7, 51.5, 17.9, 41.5, 26.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 141, 15, 38, 18, 75.0, 32.1, 54.5, 21.2, 40.4, 30.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 150, 12, 29, 21, 80.7, 42.0, 63.6, 16.2, 50.6, 25.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 150, 17, 29, 16, 78.3, 35.6, 48.5, 16.2, 41.0, 24.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 151, 18, 28, 15, 78.3, 34.9, 45.5, 15.6, 39.5, 23.3
