prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 132, 11, 47, 22, 72.6, 31.9, 66.7, 26.3, 43.1, 37.7
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 126, 8, 53, 25, 71.2, 32.1, 75.8, 29.6, 45.0, 42.6
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 132, 7, 47, 26, 74.5, 35.6, 78.8, 26.3, 49.1, 39.4
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 130, 14, 49, 19, 70.3, 27.9, 57.6, 27.4, 37.6, 37.1
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 133, 9, 46, 24, 74.1, 34.3, 72.7, 25.7, 46.6, 38.0
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 133, 10, 46, 23, 73.6, 33.3, 69.7, 25.7, 45.1, 37.6
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 131, 12, 48, 21, 71.7, 30.4, 63.6, 26.8, 41.2, 37.7
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 130, 8, 49, 25, 73.1, 33.8, 75.8, 27.4, 46.7, 40.2
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 129, 9, 50, 24, 72.2, 32.4, 72.7, 27.9, 44.9, 40.4
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 131, 11, 48, 22, 72.2, 31.4, 66.7, 26.8, 42.7, 38.2
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 127, 13, 52, 20, 69.3, 27.8, 60.6, 29.1, 38.1, 39.3
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 132, 10, 47, 23, 73.1, 32.9, 69.7, 26.3, 44.7, 38.1
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 131, 11, 48, 22, 72.2, 31.4, 66.7, 26.8, 42.7, 38.2
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 126, 9, 53, 24, 70.8, 31.2, 72.7, 29.6, 43.6, 42.1
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 126, 9, 53, 24, 70.8, 31.2, 72.7, 29.6, 43.6, 42.1
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 131, 7, 48, 26, 74.1, 35.1, 78.8, 26.8, 48.6, 40.0
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 128, 11, 51, 22, 70.8, 30.1, 66.7, 28.5, 41.5, 39.9
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 136, 9, 43, 24, 75.5, 35.8, 72.7, 24.0, 48.0, 36.1
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 126, 6, 53, 27, 72.2, 33.8, 81.8, 29.6, 47.8, 43.5
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 128, 8, 51, 25, 72.2, 32.9, 75.8, 28.5, 45.9, 41.4
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 134, 13, 45, 20, 72.6, 30.8, 60.6, 25.1, 40.8, 35.5
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 123, 13, 56, 20, 67.5, 26.3, 60.6, 31.3, 36.7, 41.3
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 128, 10, 51, 23, 71.2, 31.1, 69.7, 28.5, 43.0, 40.4
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 131, 11, 48, 22, 72.2, 31.4, 66.7, 26.8, 42.7, 38.2
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 131, 12, 48, 21, 71.7, 30.4, 63.6, 26.8, 41.2, 37.7
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 129, 11, 50, 22, 71.2, 30.6, 66.7, 27.9, 41.9, 39.4
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 132, 12, 47, 21, 72.2, 30.9, 63.6, 26.3, 41.6, 37.2
