prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 1, 4, 4, 89.4, 50.0, 80.0, 9.5, 61.5, 17.0
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 4, 5, 1, 80.9, 16.7, 20.0, 11.9, 18.2, 14.9
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 2, 5, 3, 85.1, 37.5, 60.0, 11.9, 46.2, 19.9
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 1, 3, 4, 91.5, 57.1, 80.0, 7.1, 66.7, 13.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 0, 5, 5, 89.4, 50.0, 100.0, 11.9, 66.7, 21.3
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 3, 9, 2, 74.5, 18.2, 40.0, 21.4, 25.0, 27.9
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 4, 9, 1, 72.3, 10.0, 20.0, 21.4, 13.3, 20.7
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 2, 6, 3, 83.0, 33.3, 60.0, 14.3, 42.9, 23.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 4, 5, 1, 80.9, 16.7, 20.0, 11.9, 18.2, 14.9
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 3, 4, 2, 85.1, 33.3, 40.0, 9.5, 36.4, 15.4
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 2, 7, 3, 80.9, 30.0, 60.0, 16.7, 40.0, 26.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 2, 6, 3, 83.0, 33.3, 60.0, 14.3, 42.9, 23.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 3, 4, 2, 85.1, 33.3, 40.0, 9.5, 36.4, 15.4
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 2, 5, 3, 85.1, 37.5, 60.0, 11.9, 46.2, 19.9
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 4, 5, 1, 80.9, 16.7, 20.0, 11.9, 18.2, 14.9
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 2, 6, 3, 83.0, 33.3, 60.0, 14.3, 42.9, 23.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 3, 7, 2, 78.7, 22.2, 40.0, 16.7, 28.6, 23.5
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 1, 5, 4, 87.2, 44.4, 80.0, 11.9, 57.1, 20.7
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 1, 3, 4, 91.5, 57.1, 80.0, 7.1, 66.7, 13.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 3, 6, 2, 80.9, 25.0, 40.0, 14.3, 30.8, 21.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 3, 5, 2, 83.0, 28.6, 40.0, 11.9, 33.3, 18.3
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 3, 8, 2, 76.6, 20.0, 40.0, 19.0, 26.7, 25.8
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 3, 6, 2, 80.9, 25.0, 40.0, 14.3, 30.8, 21.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 4, 7, 1, 76.6, 12.5, 20.0, 16.7, 15.4, 18.2
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 3, 7, 2, 78.7, 22.2, 40.0, 16.7, 28.6, 23.5
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 3, 6, 2, 80.9, 25.0, 40.0, 14.3, 30.8, 21.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 2, 5, 3, 85.1, 37.5, 60.0, 11.9, 46.2, 19.9
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 1, 7, 4, 83.0, 36.4, 80.0, 16.7, 50.0, 27.6
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 1, 2, 4, 93.6, 66.7, 80.0, 4.8, 72.7, 9.0
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 2, 5, 3, 85.1, 37.5, 60.0, 11.9, 46.2, 19.9
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 3, 5, 2, 83.0, 28.6, 40.0, 11.9, 33.3, 18.3
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 4, 8, 1, 74.5, 11.1, 20.0, 19.0, 14.3, 19.5
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 4, 8, 1, 74.5, 11.1, 20.0, 19.0, 14.3, 19.5
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 3, 6, 2, 80.9, 25.0, 40.0, 14.3, 30.8, 21.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 4, 9, 1, 72.3, 10.0, 20.0, 21.4, 13.3, 20.7
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 3, 6, 2, 80.9, 25.0, 40.0, 14.3, 30.8, 21.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 3, 6, 2, 80.9, 25.0, 40.0, 14.3, 30.8, 21.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 4, 4, 1, 83.0, 20.0, 20.0, 9.5, 20.0, 12.9
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 4, 6, 1, 78.7, 14.3, 20.0, 14.3, 16.7, 16.7
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 3, 7, 2, 78.7, 22.2, 40.0, 16.7, 28.6, 23.5
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 1, 5, 4, 87.2, 44.4, 80.0, 11.9, 57.1, 20.7
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 2, 6, 3, 83.0, 33.3, 60.0, 14.3, 42.9, 23.1
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 2, 4, 3, 87.2, 42.9, 60.0, 9.5, 50.0, 16.4
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 1, 4, 4, 89.4, 50.0, 80.0, 9.5, 61.5, 17.0
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 1, 7, 4, 83.0, 36.4, 80.0, 16.7, 50.0, 27.6
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 4, 6, 1, 78.7, 14.3, 20.0, 14.3, 16.7, 16.7
identity, default-row-reducer, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 2, 6, 3, 83.0, 33.3, 60.0, 14.3, 42.9, 23.1
