prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 4, 6, 1, 78.7, 14.3, 20.0, 14.3, 16.7, 16.7
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 2, 4, 3, 87.2, 42.9, 60.0, 9.5, 50.0, 16.4
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 5, 6, 0, 76.6, 0.0, 0.0, 14.3, 0.0, 0.0
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 2, 4, 3, 87.2, 42.9, 60.0, 9.5, 50.0, 16.4
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 3, 6, 2, 80.9, 25.0, 40.0, 14.3, 30.8, 21.1
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 2, 4, 3, 87.2, 42.9, 60.0, 9.5, 50.0, 16.4
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 4, 6, 1, 78.7, 14.3, 20.0, 14.3, 16.7, 16.7
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 1, 2, 4, 93.6, 66.7, 80.0, 4.8, 72.7, 9.0
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 2, 3, 3, 89.4, 50.0, 60.0, 7.1, 54.5, 12.8
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 4, 4, 1, 83.0, 20.0, 20.0, 9.5, 20.0, 12.9
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 5, 8, 0, 72.3, 0.0, 0.0, 19.0, 0.0, 0.0
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 4, 5, 1, 80.9, 16.7, 20.0, 11.9, 18.2, 14.9
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 4, 5, 1, 80.9, 16.7, 20.0, 11.9, 18.2, 14.9
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 2, 5, 3, 85.1, 37.5, 60.0, 11.9, 46.2, 19.9
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 3, 6, 2, 80.9, 25.0, 40.0, 14.3, 30.8, 21.1
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 4, 6, 1, 78.7, 14.3, 20.0, 14.3, 16.7, 16.7
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 2, 3, 3, 89.4, 50.0, 60.0, 7.1, 54.5, 12.8
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 3, 6, 2, 80.9, 25.0, 40.0, 14.3, 30.8, 21.1
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 4, 4, 1, 83.0, 20.0, 20.0, 9.5, 20.0, 12.9
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 4, 6, 1, 78.7, 14.3, 20.0, 14.3, 16.7, 16.7
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 4, 4, 1, 83.0, 20.0, 20.0, 9.5, 20.0, 12.9
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 2, 3, 3, 89.4, 50.0, 60.0, 7.1, 54.5, 12.8
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 4, 4, 1, 83.0, 20.0, 20.0, 9.5, 20.0, 12.9
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 3, 3, 2, 87.2, 40.0, 40.0, 7.1, 40.0, 12.1
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 3, 4, 2, 85.1, 33.3, 40.0, 9.5, 36.4, 15.4
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 3, 6, 2, 80.9, 25.0, 40.0, 14.3, 30.8, 21.1
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 3, 3, 2, 87.2, 40.0, 40.0, 7.1, 40.0, 12.1
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 3, 5, 2, 83.0, 28.6, 40.0, 11.9, 33.3, 18.3
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 2, 4, 3, 87.2, 42.9, 60.0, 9.5, 50.0, 16.4
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 2, 5, 3, 85.1, 37.5, 60.0, 11.9, 46.2, 19.9
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 2, 3, 3, 89.4, 50.0, 60.0, 7.1, 54.5, 12.8
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 4, 5, 1, 80.9, 16.7, 20.0, 11.9, 18.2, 14.9
