prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 98, 5, 6, 3, 90.2, 33.3, 37.5, 5.8, 35.3, 10.0
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 5, 10, 3, 86.6, 23.1, 37.5, 9.6, 28.6, 15.3
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 5, 10, 3, 86.6, 23.1, 37.5, 9.6, 28.6, 15.3
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 6, 11, 2, 84.8, 15.4, 25.0, 10.6, 19.0, 14.9
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 5, 10, 3, 86.6, 23.1, 37.5, 9.6, 28.6, 15.3
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 5, 11, 3, 85.7, 21.4, 37.5, 10.6, 27.3, 16.5
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 5, 10, 3, 86.6, 23.1, 37.5, 9.6, 28.6, 15.3
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 96, 4, 8, 4, 89.3, 33.3, 50.0, 7.7, 40.0, 13.3
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 6, 11, 2, 84.8, 15.4, 25.0, 10.6, 19.0, 14.9
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 95, 6, 9, 2, 86.6, 18.2, 25.0, 8.7, 21.1, 12.9
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 5, 11, 3, 85.7, 21.4, 37.5, 10.6, 27.3, 16.5
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 89, 6, 15, 2, 81.3, 11.8, 25.0, 14.4, 16.0, 18.3
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 5, 10, 3, 86.6, 23.1, 37.5, 9.6, 28.6, 15.3
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 5, 10, 3, 86.6, 23.1, 37.5, 9.6, 28.6, 15.3
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 90, 6, 14, 2, 82.1, 12.5, 25.0, 13.5, 16.7, 17.5
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 4, 10, 4, 87.5, 28.6, 50.0, 9.6, 36.4, 16.1
identity, sub-sample, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 86, 6, 18, 2, 78.6, 10.0, 25.0, 17.3, 14.3, 20.5
