((INFOGAIN-NB INFOGAIN 2 KNN TRUE,63,13,7,4,.24,.10,.36,.14,.45)
 (INFOGAIN-NB INFOGAIN 2 KNN FALSE,4,7,13,63,.90,.76,.83,.83,.45)
 (BSQUARE-NB BSQUARE 2 KNN TRUE,68,17,2,0,.00,.03,.00,.00,.29)
 (BSQUARE-NB BSQUARE 2 KNN FALSE,0,2,17,68,.97,1.00,.80,.00,.29)
 (INFOGAIN-PRISM INFOGAIN 2 KNN TRUE,71,8,1,7,.47,.01,.88,.03,.62)
 (INFOGAIN-PRISM INFOGAIN 2 KNN FALSE,8,1,7,71,.99,.47,.91,.63,.67)
 (BSQUARE-PRISM BSQUARE 2 KNN TRUE,71,10,1,5,.33,.01,.83,.03,.53)
 (BSQUARE-PRISM BSQUARE 2 KNN FALSE,6,3,9,69,.96,.60,.88,.74,.57)
 (INFOGAIN-NB INFOGAIN 4 KNN TRUE,64,3,9,11,.79,.12,.55,.21,.83)
 (INFOGAIN-NB INFOGAIN 4 KNN FALSE,11,9,3,64,.88,.21,.96,.34,.83)
 (BSQUARE-NB BSQUARE 4 KNN TRUE,67,15,3,2,.12,.04,.40,.06,.38)
 (BSQUARE-NB BSQUARE 4 KNN FALSE,2,3,15,67,.96,.88,.82,.92,.38)
 (INFOGAIN-PRISM INFOGAIN 4 KNN TRUE,71,3,4,9,.75,.05,.69,.10,.82)
 (INFOGAIN-PRISM INFOGAIN 4 KNN FALSE,9,7,3,68,.91,.25,.96,.39,.81)
 (BSQUARE-PRISM BSQUARE 4 KNN TRUE,64,8,5,10,.56,.07,.67,.13,.68)
 (BSQUARE-PRISM BSQUARE 4 KNN FALSE,12,11,6,58,.84,.33,.91,.48,.74)
 (INFOGAIN-NB INFOGAIN 8 KNN TRUE,62,6,5,14,.70,.07,.74,.13,.78)
 (INFOGAIN-NB INFOGAIN 8 KNN FALSE,14,5,6,62,.93,.30,.91,.45,.78)
 (BSQUARE-NB BSQUARE 8 KNN FALSE,9,6,9,63,.91,.50,.88,.65,.64)
 (BSQUARE-NB BSQUARE 8 KNN TRUE,63,9,6,9,.50,.09,.60,.15,.64)
 (INFOGAIN-PRISM INFOGAIN 8 KNN TRUE,75,3,1,8,.73,.01,.89,.03,.81)
 (INFOGAIN-PRISM INFOGAIN 8 KNN FALSE,9,5,2,71,.93,.18,.97,.30,.86)
 (BSQUARE-PRISM BSQUARE 8 KNN TRUE,65,8,3,11,.58,.04,.79,.08,.70)
 (BSQUARE-PRISM BSQUARE 8 KNN FALSE,11,8,8,60,.88,.42,.88,.57,.69)
 (INFOGAIN-NB INFOGAIN 10 KNN FALSE,18,8,3,58,.88,.14,.95,.25,.87)
 (INFOGAIN-NB INFOGAIN 10 KNN TRUE,58,3,8,18,.86,.12,.69,.21,.87)
 (BSQUARE-NB BSQUARE 10 KNN TRUE,63,7,6,11,.61,.09,.65,.15,.72)
 (BSQUARE-NB BSQUARE 10 KNN FALSE,11,6,7,63,.91,.39,.90,.55,.72)
 (INFOGAIN-PRISM INFOGAIN 10 KNN TRUE,65,5,4,13,.72,.06,.76,.11,.80)
 (INFOGAIN-PRISM INFOGAIN 10 KNN FALSE,14,5,4,64,.93,.22,.94,.36,.83)
 (BSQUARE-PRISM BSQUARE 10 KNN TRUE,69,9,1,8,.47,.01,.89,.03,.63)
 (BSQUARE-PRISM BSQUARE 10 KNN FALSE,11,6,6,64,.91,.35,.91,.51,.74)
 (INFOGAIN-NB INFOGAIN 12 KNN TRUE,62,9,9,7,.44,.13,.44,.20,.59)
