((INFOGAIN-NB INFOGAIN 2 KNN TRUE,384,26,3,4,.13,.01,.57,.01,.39)
 (INFOGAIN-NB INFOGAIN 2 KNN FALSE,4,3,26,384,.99,.87,.94,.93,.39)
 (BSQUARE-NB BSQUARE 2 KNN TRUE,385,19,7,6,.24,.02,.46,.03,.46)
 (BSQUARE-NB BSQUARE 2 KNN FALSE,6,7,19,385,.98,.76,.95,.86,.46)
 (INFOGAIN-PRISM INFOGAIN 2 KNN TRUE,390,23,2,2,.08,.01,.50,.01,.35)
 (INFOGAIN-PRISM INFOGAIN 2 KNN FALSE,3,5,22,387,.99,.88,.95,.93,.38)
 (BSQUARE-PRISM BSQUARE 2 KNN TRUE,393,21,1,2,.09,.003,.67,.005,.35)
 (BSQUARE-PRISM BSQUARE 2 KNN FALSE,3,2,20,392,.99,.87,.95,.93,.39)
 (INFOGAIN-NB INFOGAIN 4 KNN TRUE,372,23,18,4,.15,.05,.18,.07,.40)
 (INFOGAIN-NB INFOGAIN 4 KNN FALSE,4,18,23,372,.95,.85,.94,.90,.40)
 (BSQUARE-NB BSQUARE 4 KNN TRUE,366,24,18,9,.27,.05,.33,.08,.48)
 (BSQUARE-NB BSQUARE 4 KNN FALSE,9,18,24,366,.95,.73,.94,.83,.48)
 (INFOGAIN-PRISM INFOGAIN 4 KNN TRUE,387,21,5,4,.16,.01,.44,.02,.41)
 (INFOGAIN-PRISM INFOGAIN 4 KNN FALSE,5,10,20,382,.97,.80,.95,.88,.43)
 (BSQUARE-PRISM BSQUARE 4 KNN TRUE,397,18,0,2,.10,.00,1.00,.00,.36)
 (BSQUARE-PRISM BSQUARE 4 KNN FALSE,4,7,16,390,.98,.80,.96,.88,.43)
 (INFOGAIN-NB INFOGAIN 8 KNN TRUE,372,20,21,4,.17,.05,.16,.08,.41)
 (INFOGAIN-NB INFOGAIN 8 KNN FALSE,4,21,20,372,.95,.83,.95,.89,.41)
 (BSQUARE-NB BSQUARE 8 KNN TRUE,372,8,26,11,.58,.07,.30,.12,.70)
 (BSQUARE-NB BSQUARE 8 KNN FALSE,11,26,8,372,.93,.42,.98,.58,.70)
 (INFOGAIN-PRISM INFOGAIN 8 KNN TRUE,389,14,0,14,.50,.00,1.00,.00,.65)
 (INFOGAIN-PRISM INFOGAIN 8 KNN FALSE,16,5,12,384,.99,.43,.97,.60,.70)
 (BSQUARE-PRISM BSQUARE 8 KNN TRUE,387,22,5,3,.12,.01,.38,.02,.38)
 (BSQUARE-PRISM BSQUARE 8 KNN FALSE,4,15,21,377,.96,.84,.95,.90,.41)
 (INFOGAIN-NB INFOGAIN 10 KNN TRUE,313,5,77,22,.81,.20,.22,.32,.81)
 (INFOGAIN-NB INFOGAIN 10 KNN FALSE,22,77,5,313,.80,.19,.98,.30,.81)
 (BSQUARE-NB BSQUARE 10 KNN TRUE,359,17,34,7,.29,.09,.17,.13,.50)
 (BSQUARE-NB BSQUARE 10 KNN FALSE,7,34,17,359,.91,.71,.95,.80,.50)
 (INFOGAIN-PRISM INFOGAIN 10 KNN TRUE,387,15,3,12,.44,.01,.80,.02,.61)
 (INFOGAIN-PRISM INFOGAIN 10 KNN FALSE,12,10,15,380,.97,.56,.96,.71,.61)
 (BSQUARE-PRISM BSQUARE 10 KNN FALSE,7,12,22,376,.97,.76,.94,.85,.46)
 (BSQUARE-PRISM BSQUARE 10 KNN TRUE,384,24,4,5,.17,.01,.56,.02,.41)
 (INFOGAIN-NB INFOGAIN 12 KNN TRUE,361,19,25,12,.39,.06,.32,.11,.56)
 (INFOGAIN-NB INFOGAIN 12 KNN FALSE,12,25,19,361,.94,.61,.95,.74,.56)
 (BSQUARE-NB BSQUARE 12 KNN TRUE,339,21,47,10,.32,.12,.18,.18,.51)
 (BSQUARE-NB BSQUARE 12 KNN FALSE,10,47,21,339,.88,.68,.94,.76,.51)
 (INFOGAIN-PRISM INFOGAIN 12 KNN TRUE,393,16,2,6,.27,.01,.75,.01,.49)
 (INFOGAIN-PRISM INFOGAIN 12 KNN FALSE,6,5,16,390,.99,.73,.96,.84,.49)
 (BSQUARE-PRISM BSQUARE 12 KNN TRUE,379,18,4,16,.47,.01,.80,.02,.63)
 (BSQUARE-PRISM BSQUARE 12 KNN FALSE,16,13,18,370,.97,.53,.95,.68,.62)
 (INFOGAIN-NB INFOGAIN 2 KNN TRUE,366,33,8,10,.23,.02,.56,.04,.46)
 (INFOGAIN-NB INFOGAIN 2 KNN FALSE,10,8,33,366,.98,.77,.92,.86,.46)
 (BSQUARE-NB BSQUARE 2 KNN TRUE,387,17,9,4,.19,.02,.31,.04,.43)
 (BSQUARE-NB BSQUARE 2 KNN FALSE,4,9,17,387,.98,.81,.96,.89,.43)
 (INFOGAIN-PRISM INFOGAIN 2 KNN TRUE,378,38,1,0,.00,.003,.00,.00,.29)
 (INFOGAIN-PRISM INFOGAIN 2 KNN FALSE,2,6,36,373,.98,.95,.91,.97,.33)
 (BSQUARE-PRISM BSQUARE 2 KNN TRUE,387,19,3,8,.30,.01,.73,.01,.50)
 (BSQUARE-PRISM BSQUARE 2 KNN FALSE,9,3,18,387,.99,.67,.96,.80,.53)
 (INFOGAIN-NB INFOGAIN 4 KNN FALSE,11,12,21,373,.97,.66,.95,.78,.54)
 (INFOGAIN-NB INFOGAIN 4 KNN TRUE,373,21,12,11,.34,.03,.48,.06,.54)
 (BSQUARE-NB BSQUARE 4 KNN TRUE,355,34,25,3,.08,.07,.11,.07,.35)
 (BSQUARE-NB BSQUARE 4 KNN FALSE,3,25,34,355,.93,.92,.91,.93,.35)
 (INFOGAIN-PRISM INFOGAIN 4 KNN TRUE,379,23,5,10,.30,.01,.67,.02,.51)
 (INFOGAIN-PRISM INFOGAIN 4 KNN FALSE,14,9,19,375,.98,.58,.95,.72,.59)
 (BSQUARE-PRISM BSQUARE 4 KNN TRUE,389,19,2,7,.27,.01,.78,.01,.48)
 (BSQUARE-PRISM BSQUARE 4 KNN FALSE,7,12,19,379,.97,.73,.95,.83,.48)
 (INFOGAIN-NB INFOGAIN 8 KNN TRUE,364,17,26,10,.37,.07,.28,.11,.55)
 (INFOGAIN-NB INFOGAIN 8 KNN FALSE,10,26,17,364,.93,.63,.96,.75,.55)
 (BSQUARE-NB BSQUARE 8 KNN TRUE,344,24,43,6,.20,.11,.12,.14,.43)
