2,2,19.5,18.5,18.5,19.5,0.41,0.59,0.48,0.465,0.465
2,3,17,19.5,19.5,17,0.38,0.625,0.48,0.42,0.39
2,4,20.5,20.5,20.5,20.5,0.435,0.565,0.525,0.46,0.445
2,5,17.5,23,23,17.5,0.4,0.6,0.475,0.45,0.4
2,6,18.5,21,21,18.5,0.47,0.53,0.525,0.46,0.42
2,7,24,22.5,22.5,24,0.52,0.48,0.48,0.47,0.525
2,8,20,19,19,20,0.455,0.545,0.5,0.435,0.47
2,9,17,22.5,22.5,17,0.405,0.595,0.46,0.455,0.415
2,10,17,23.5,23.5,17,0.465,0.535,0.495,0.475,0.445
2,11,19.5,18.5,18.5,19.5,0.41,0.59,0.475,0.405,0.42
2,12,18.5,19,19,18.5,0.435,0.565,0.47,0.47,0.44
2,13,20,24.5,24.5,20,0.43,0.57,0.495,0.48,0.44
2,14,15.5,24.5,24.5,15.5,0.5,0.5,0.465,0.485,0.48
3,2,20,27,27,20,0.48,0.52,0.5,0.5,0.5
3,3,19,21,21,19,0.46,0.54,0.47,0.44,0.465
3,4,17,19.5,19.5,17,0.5,0.5,0.51,0.5,0.47
3,5,17.5,23,23,17.5,0.445,0.555,0.45,0.49,0.385
3,6,20.5,17.5,17.5,20.5,0.5,0.5,0.54,0.465,0.515
3,7,20,19.5,19.5,20,0.48,0.52,0.51,0.46,0.455
3,8,21.5,19.5,19.5,21.5,0.5,0.5,0.495,0.465,0.465
3,9,19,27,27,19,0.51,0.49,0.47,0.495,0.48
3,10,15,28.5,28.5,15,0.385,0.62,0.43,0.47,0.39
3,11,23,24.5,24.5,23,0.445,0.555,0.485,0.485,0.42
3,12,18,19.5,19.5,18,0.435,0.565,0.48,0.495,0.45
3,13,22,23.5,23.5,22,0.435,0.565,0.525,0.49,0.415
3,14,22.5,24.5,24.5,22.5,0.5,0.5,0.495,0.495,0.505
4,2,18.5,24,24,18.5,0.45,0.55,0.47,0.49,0.455
4,3,17.5,24.5,24.5,17.5,0.415,0.59,0.485,0.465,0.41
4,4,21,15,15,21,0.405,0.595,0.505,0.465,0.43
4,5,19,26,26,19,0.425,0.575,0.46,0.5,0.435
4,6,19.5,25.5,25.5,19.5,0.43,0.57,0.505,0.455,0.485
4,7,17,21.5,21.5,17,0.5,0.5,0.475,0.46,0.46
4,8,20,27,27,20,0.42,0.58,0.44,0.48,0.385
4,9,20,19.5,19.5,20,0.525,0.475,0.505,0.47,0.455
4,10,19.5,25.5,25.5,19.5,0.435,0.565,0.49,0.49,0.445
4,11,22.5,23.5,23.5,22.5,0.46,0.54,0.505,0.48,0.475
4,12,21.5,19,19,21.5,0.58,0.42,0.515,0.485,0.54
4,13,17,18.5,18.5,17,0.57,0.43,0.53,0.44,0.495
4,14,22,27,27,22,0.5,0.5,0.495,0.5,0.5
5,2,18.5,19.5,19.5,18.5,0.455,0.545,0.49,0.49,0.49
5,3,16.5,20,20,16.5,0.435,0.565,0.47,0.475,0.455
5,4,20.5,17,17,20.5,0.57,0.43,0.525,0.455,0.505
5,5,17.5,25.5,25.5,17.5,0.47,0.53,0.485,0.5,0.435
5,6,14,25.5,25.5,14,0.47,0.53,0.495,0.48,0.445
5,7,22,19,19,22,0.48,0.52,0.53,0.49,0.46
5,8,20,20.5,20.5,20,0.435,0.565,0.515,0.47,0.505
5,9,17.5,26,26,17.5,0.5,0.5,0.515,0.46,0.465
5,10,21.5,22.5,22.5,21.5,0.475,0.525,0.49,0.44,0.505
5,11,21.5,18,18,21.5,0.5,0.5,0.49,0.495,0.45
5,12,20,21,21,20,0.575,0.425,0.475,0.43,0.465
5,13,16,12,12,16,0.59,0.41,0.525,0.445,0.525
5,14,30,14,14,30,0.55,0.45,0.51,0.48,0.5
6,2,16.5,25.5,25.5,16.5,0.49,0.51,0.47,0.49,0.43
6,3,18.5,15.5,15.5,18.5,0.44,0.56,0.51,0.465,0.43
6,4,13.5,16.5,16.5,13.5,0.495,0.505,0.46,0.5,0.44
6,5,11.5,18.5,18.5,11.5,0.445,0.555,0.48,0.47,0.46
6,6,17,17,17,17,0.46,0.54,0.48,0.5,0.425
6,7,18,16.5,16.5,18,0.5,0.5,0.495,0.475,0.45
6,8,19.5,18.5,18.5,19.5,0.51,0.49,0.505,0.495,0.5
6,9,13.5,24.5,24.5,13.5,0.33,0.67,0.43,0.43,0.39
6,10,18,21.5,21.5,18,0.48,0.52,0.49,0.485,0.49
6,11,18.5,20,20,18.5,0.475,0.525,0.48,0.465,0.44
6,12,13.5,18.5,18.5,13.5,0.5,0.5,0.51,0.495,0.475
6,13,16.5,19.5,19.5,16.5,0.555,0.445,0.51,0.485,0.535
6,14,15.5,21,21,15.5,0.45,0.55,0.465,0.485,0.43
7,2,16.5,15.5,15.5,16.5,0.495,0.505,0.46,0.495,0.46
7,3,20.5,20.5,20.5,20.5,0.485,0.515,0.48,0.46,0.475
7,4,17.5,12,12,17.5,0.43,0.57,0.435,0.455,0.38
7,5,15,16.5,16.5,15,0.485,0.515,0.515,0.45,0.445
7,6,13.5,16,16,13.5,0.545,0.455,0.535,0.5,0.545
7,7,21,19.5,19.5,21,0.455,0.545,0.48,0.46,0.435
7,8,10,20.5,20.5,10,0.4,0.6,0.485,0.455,0.425
7,9,22,18,18,22,0.485,0.515,0.485,0.47,0.425
7,10,20,17.5,17.5,20,0.49,0.51,0.495,0.5,0.49
7,11,18.5,16.5,16.5,18.5,0.42,0.58,0.505,0.455,0.4
7,12,15.5,23,23,15.5,0.455,0.545,0.475,0.475,0.465
7,13,17.5,17,17,17.5,0.395,0.605,0.465,0.475,0.415
7,14,10.5,18.5,18.5,10.5,0.51,0.49,0.475,0.5,0.51
