     #data, run, bin, learner,            goal,  a, b, c, d,   acc,    pd,   pf,  prec,   bal
 iris.arff,   5,   9,      nb,     Iris-setosa,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   9,     j48,     Iris-setosa,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   8,      nb,  Iris-virginica,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   8,      nb, Iris-versicolor, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   8,      nb,     Iris-setosa, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   8,     j48,  Iris-virginica,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   8,     j48, Iris-versicolor, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   8,     j48,     Iris-setosa, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   7,      nb,  Iris-virginica, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   7,      nb, Iris-versicolor,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   7,      nb,     Iris-setosa, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   7,     j48,  Iris-virginica, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   7,     j48, Iris-versicolor,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   7,     j48,     Iris-setosa, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   6,      nb, Iris-versicolor, 11, 0, 1, 3,  93.3, 100.0,  8.3,  75.0,  94.1
 iris.arff,   5,   6,      nb,     Iris-setosa,  7, 0, 0, 8, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   6,     j48,  Iris-virginica, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   6,     j48, Iris-versicolor, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   6,     j48,     Iris-setosa,  7, 0, 0, 8, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   5,      nb,  Iris-virginica,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   5,      nb, Iris-versicolor, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   5,      nb,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   5,     j48,  Iris-virginica,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   5,     j48, Iris-versicolor, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   5,     j48,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   4,      nb,  Iris-virginica, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   4,      nb, Iris-versicolor, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   4,      nb,     Iris-setosa,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   4,     j48,  Iris-virginica, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   4,     j48, Iris-versicolor, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   4,     j48,     Iris-setosa,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   3,      nb,  Iris-virginica, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   3,      nb, Iris-versicolor,  7, 0, 0, 8, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   3,      nb,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   3,     j48,  Iris-virginica, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   3,     j48, Iris-versicolor,  7, 0, 0, 8, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   3,     j48,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   2,      nb,  Iris-virginica,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   2,      nb, Iris-versicolor,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   2,      nb,     Iris-setosa, 13, 0, 0, 2, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   2,     j48,  Iris-virginica,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   2,     j48, Iris-versicolor,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   2,     j48,     Iris-setosa, 13, 0, 0, 2, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,  10,      nb,  Iris-virginica, 10, 0, 1, 4,  93.3, 100.0,  9.1,  80.0,  93.6
 iris.arff,   5,  10,      nb,     Iris-setosa, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,  10,     j48,  Iris-virginica, 10, 0, 1, 4,  93.3, 100.0,  9.1,  80.0,  93.6
 iris.arff,   5,  10,     j48,     Iris-setosa, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   1,      nb,  Iris-virginica,  7, 0, 2, 5,  85.7, 100.0, 22.2,  71.4,  84.3
 iris.arff,   5,   1,      nb,     Iris-setosa, 12, 0, 0, 2, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   5,   1,     j48,  Iris-virginica,  7, 0, 2, 5,  85.7, 100.0, 22.2,  71.4,  84.3
 iris.arff,   5,   1,     j48,     Iris-setosa, 12, 0, 0, 2, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   9,      nb,     Iris-setosa,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   9,     j48,  Iris-virginica,  8, 0, 1, 6,  93.3, 100.0, 11.1,  85.7,  92.1
 iris.arff,   4,   9,     j48,     Iris-setosa,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   8,      nb, Iris-versicolor,  7, 0, 1, 7,  93.3, 100.0, 12.5,  87.5,  91.2
 iris.arff,   4,   8,      nb,     Iris-setosa, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   8,     j48, Iris-versicolor,  7, 0, 1, 7,  93.3, 100.0, 12.5,  87.5,  91.2
 iris.arff,   4,   8,     j48,     Iris-setosa, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   7,      nb,  Iris-virginica, 13, 0, 0, 2, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   7,      nb, Iris-versicolor, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   7,      nb,     Iris-setosa,  7, 0, 0, 8, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   7,     j48,  Iris-virginica, 13, 0, 0, 2, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   7,     j48, Iris-versicolor, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   7,     j48,     Iris-setosa,  7, 0, 0, 8, 100.0, 100.0,  0.0, 100.0, 100.0
